class_label,support,predicted_count,true_positive,recall,precision,evaluation_phase,scenario,model_family,model,representation,seed
benzyl_fentanyl,24,21,21,0.875,1.0,domain_transfer,domain__quality_pass__domain_only__instrument__RMX-2,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,2718
blank,0,9,0,,0.0,domain_transfer,domain__quality_pass__domain_only__instrument__RMX-2,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,2718
ethyl_paraoxon,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__instrument__RMX-2,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,2718
4_ANPP,12,12,10,0.8333333333333334,0.8333333333333334,domain_transfer,domain__quality_pass__domain_only__instrument__RMX-2,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,3141
4_nitrophenol,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__instrument__RMX-2,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,3141
acetaminophen,28,20,17,0.6071428571428571,0.85,domain_transfer,domain__quality_pass__domain_only__instrument__RMX-2,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,3141
benzyl_fentanyl,24,21,21,0.875,1.0,domain_transfer,domain__quality_pass__domain_only__instrument__RMX-2,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,3141
blank,0,8,0,,0.0,domain_transfer,domain__quality_pass__domain_only__instrument__RMX-2,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,3141
ethyl_paraoxon,0,2,0,,0.0,domain_transfer,domain__quality_pass__domain_only__instrument__RMX-2,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,3141
4_ANPP,12,17,12,1.0,0.7058823529411765,domain_transfer,domain__quality_pass__domain_only__instrument__RMX-2,siamese,deterministic_edge_triplet,derivative_1,1729
acetaminophen,28,10,10,0.35714285714285715,1.0,domain_transfer,domain__quality_pass__domain_only__instrument__RMX-2,siamese,deterministic_edge_triplet,derivative_1,1729
benzyl_fentanyl,24,23,22,0.9166666666666666,0.9565217391304348,domain_transfer,domain__quality_pass__domain_only__instrument__RMX-2,siamese,deterministic_edge_triplet,derivative_1,1729
blank,0,12,0,,0.0,domain_transfer,domain__quality_pass__domain_only__instrument__RMX-2,siamese,deterministic_edge_triplet,derivative_1,1729
ethyl_paraoxon,0,2,0,,0.0,domain_transfer,domain__quality_pass__domain_only__instrument__RMX-2,siamese,deterministic_edge_triplet,derivative_1,1729
4_ANPP,12,17,12,1.0,0.7058823529411765,domain_transfer,domain__quality_pass__domain_only__instrument__RMX-2,siamese,deterministic_edge_triplet,derivative_1,2718
acetaminophen,28,15,14,0.5,0.9333333333333333,domain_transfer,domain__quality_pass__domain_only__instrument__RMX-2,siamese,deterministic_edge_triplet,derivative_1,2718
benzyl_fentanyl,24,21,21,0.875,1.0,domain_transfer,domain__quality_pass__domain_only__instrument__RMX-2,siamese,deterministic_edge_triplet,derivative_1,2718
blank,0,10,0,,0.0,domain_transfer,domain__quality_pass__domain_only__instrument__RMX-2,siamese,deterministic_edge_triplet,derivative_1,2718
ethyl_paraoxon,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__instrument__RMX-2,siamese,deterministic_edge_triplet,derivative_1,2718
4_ANPP,12,16,12,1.0,0.75,domain_transfer,domain__quality_pass__domain_only__instrument__RMX-2,siamese,deterministic_edge_triplet,derivative_1,3141
acetaminophen,28,13,12,0.42857142857142855,0.9230769230769231,domain_transfer,domain__quality_pass__domain_only__instrument__RMX-2,siamese,deterministic_edge_triplet,derivative_1,3141
benzyl_fentanyl,24,22,22,0.9166666666666666,1.0,domain_transfer,domain__quality_pass__domain_only__instrument__RMX-2,siamese,deterministic_edge_triplet,derivative_1,3141
blank,0,7,0,,0.0,domain_transfer,domain__quality_pass__domain_only__instrument__RMX-2,siamese,deterministic_edge_triplet,derivative_1,3141
ethanol,0,5,0,,0.0,domain_transfer,domain__quality_pass__domain_only__instrument__RMX-2,siamese,deterministic_edge_triplet,derivative_1,3141
ethyl_paraoxon,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__instrument__RMX-2,siamese,deterministic_edge_triplet,derivative_1,3141
4_ANPP,0,2,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,1729
4_nitrophenol,13,11,11,0.8461538461538461,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,1729
acetaminophen,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,1729
benzyl_fentanyl,5,2,2,0.4,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,1729
blank,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,1729
ethyl_paraoxon,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,1729
4_nitrophenol,13,8,8,0.6153846153846154,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,2718
acetaminophen,0,4,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,2718
benzyl_fentanyl,5,3,2,0.4,0.6666666666666666,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,2718
blank,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,2718
ethanol,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,2718
ethyl_paraoxon,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,2718
4_ANPP,0,2,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,3141
4_nitrophenol,13,10,9,0.6923076923076923,0.9,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,3141
acetaminophen,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,3141
benzyl_fentanyl,5,3,2,0.4,0.6666666666666666,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,3141
blank,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,3141
ethanol,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,3141
4_nitrophenol,13,9,8,0.6153846153846154,0.8888888888888888,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,linear_svm,arpls_minmax,2026
acetaminophen,0,5,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,linear_svm,arpls_minmax,2026
benzyl_fentanyl,5,2,2,0.4,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,linear_svm,arpls_minmax,2026
blank,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,linear_svm,arpls_minmax,2026
ethyl_paraoxon,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,linear_svm,arpls_minmax,2026
4_ANPP,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,linear_svm,derivative_1,2026
4_nitrophenol,13,8,8,0.6153846153846154,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,linear_svm,derivative_1,2026
acetaminophen,0,3,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,linear_svm,derivative_1,2026
benzyl_fentanyl,5,4,4,0.8,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,linear_svm,derivative_1,2026
blank,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,linear_svm,derivative_1,2026
ethyl_paraoxon,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,linear_svm,derivative_1,2026
4_ANPP,0,3,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,linear_svm,minimal_minmax,2026
4_nitrophenol,13,11,11,0.8461538461538461,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,linear_svm,minimal_minmax,2026
acetaminophen,0,2,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,linear_svm,minimal_minmax,2026
benzyl_fentanyl,5,2,2,0.4,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,linear_svm,minimal_minmax,2026
4_ANPP,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,nearest_centroid,arpls_minmax,2026
4_nitrophenol,13,7,7,0.5384615384615384,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,nearest_centroid,arpls_minmax,2026
acetaminophen,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,nearest_centroid,arpls_minmax,2026
benzyl_fentanyl,5,7,3,0.6,0.42857142857142855,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,nearest_centroid,arpls_minmax,2026
ethanol,0,2,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,nearest_centroid,arpls_minmax,2026
4_nitrophenol,13,9,9,0.6923076923076923,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,nearest_centroid,derivative_1,2026
acetaminophen,0,3,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,nearest_centroid,derivative_1,2026
benzyl_fentanyl,5,4,4,0.8,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,nearest_centroid,derivative_1,2026
ethanol,0,2,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,nearest_centroid,derivative_1,2026
4_nitrophenol,13,5,5,0.38461538461538464,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,nearest_centroid,minimal_minmax,2026
benzyl_fentanyl,5,7,2,0.4,0.2857142857142857,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,nearest_centroid,minimal_minmax,2026
ethanol,0,5,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,nearest_centroid,minimal_minmax,2026
ethyl_paraoxon,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,nearest_centroid,minimal_minmax,2026
4_ANPP,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,pca_logistic,arpls_minmax,2026
4_nitrophenol,13,9,9,0.6923076923076923,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,pca_logistic,arpls_minmax,2026
acetaminophen,0,2,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,pca_logistic,arpls_minmax,2026
benzyl_fentanyl,5,2,2,0.4,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,pca_logistic,arpls_minmax,2026
blank,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,pca_logistic,arpls_minmax,2026
ethanol,0,2,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,pca_logistic,arpls_minmax,2026
ethyl_paraoxon,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,pca_logistic,arpls_minmax,2026
4_nitrophenol,13,13,12,0.9230769230769231,0.9230769230769231,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,pca_logistic,derivative_1,2026
acetaminophen,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,pca_logistic,derivative_1,2026
benzyl_fentanyl,5,4,4,0.8,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,pca_logistic,derivative_1,2026
4_ANPP,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,pca_logistic,minimal_minmax,2026
4_nitrophenol,13,11,11,0.8461538461538461,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,pca_logistic,minimal_minmax,2026
benzyl_fentanyl,5,2,2,0.4,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,pca_logistic,minimal_minmax,2026
blank,0,2,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,pca_logistic,minimal_minmax,2026
ethanol,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,pca_logistic,minimal_minmax,2026
ethyl_paraoxon,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,classical,pca_logistic,minimal_minmax,2026
4_nitrophenol,13,8,8,0.6153846153846154,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,1729
acetaminophen,0,3,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,1729
benzyl_fentanyl,5,2,2,0.4,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,1729
blank,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,1729
ethyl_paraoxon,0,4,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,1729
4_ANPP,0,2,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,2718
4_nitrophenol,13,8,8,0.6153846153846154,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,2718
acetaminophen,0,2,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,2718
benzyl_fentanyl,5,2,2,0.4,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,2718
blank,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,2718
ethanol,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,2718
ethyl_paraoxon,0,2,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,2718
4_nitrophenol,13,8,8,0.6153846153846154,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,3141
benzyl_fentanyl,5,2,2,0.4,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,3141
blank,0,3,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,3141
ethanol,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,3141
ethyl_paraoxon,0,4,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,3141
4_nitrophenol,13,12,12,0.9230769230769231,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,siamese,deterministic_edge_triplet,derivative_1,1729
acetaminophen,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,siamese,deterministic_edge_triplet,derivative_1,1729
benzyl_fentanyl,5,4,4,0.8,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,siamese,deterministic_edge_triplet,derivative_1,1729
blank,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,siamese,deterministic_edge_triplet,derivative_1,1729
4_nitrophenol,13,12,12,0.9230769230769231,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,siamese,deterministic_edge_triplet,derivative_1,2718
acetaminophen,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,siamese,deterministic_edge_triplet,derivative_1,2718
benzyl_fentanyl,5,5,5,1.0,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,siamese,deterministic_edge_triplet,derivative_1,2718
4_nitrophenol,13,12,12,0.9230769230769231,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,siamese,deterministic_edge_triplet,derivative_1,3141
benzyl_fentanyl,5,5,5,1.0,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,siamese,deterministic_edge_triplet,derivative_1,3141
ethyl_paraoxon,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__GaN_polymer,siamese,deterministic_edge_triplet,derivative_1,3141
4_nitrophenol,49,54,43,0.8775510204081632,0.7962962962962963,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,1729
acetaminophen,0,35,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,1729
benzyl_fentanyl,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,1729
blank,0,13,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,1729
ethanol,30,0,0,0.0,,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,1729
ethyl_paraoxon,25,1,0,0.0,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,1729
4_nitrophenol,49,61,46,0.9387755102040817,0.7540983606557377,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,2718
acetaminophen,0,32,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,2718
benzyl_fentanyl,0,3,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,2718
blank,0,7,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,2718
ethanol,30,0,0,0.0,,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,2718
ethyl_paraoxon,25,1,0,0.0,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,2718
4_nitrophenol,49,53,43,0.8775510204081632,0.8113207547169812,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,3141
acetaminophen,0,39,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,3141
benzyl_fentanyl,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,3141
blank,0,9,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,3141
ethanol,30,0,0,0.0,,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,3141
ethyl_paraoxon,25,2,0,0.0,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,3141
4_ANPP,0,2,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,linear_svm,arpls_minmax,2026
4_nitrophenol,49,53,44,0.8979591836734694,0.8301886792452831,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,linear_svm,arpls_minmax,2026
acetaminophen,0,22,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,linear_svm,arpls_minmax,2026
benzyl_fentanyl,0,23,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,linear_svm,arpls_minmax,2026
blank,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,linear_svm,arpls_minmax,2026
ethanol,30,0,0,0.0,,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,linear_svm,arpls_minmax,2026
ethyl_paraoxon,25,3,0,0.0,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,linear_svm,arpls_minmax,2026
4_ANPP,0,3,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,linear_svm,derivative_1,2026
4_nitrophenol,49,55,45,0.9183673469387755,0.8181818181818182,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,linear_svm,derivative_1,2026
acetaminophen,0,38,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,linear_svm,derivative_1,2026
benzyl_fentanyl,0,4,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,linear_svm,derivative_1,2026
blank,0,3,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,linear_svm,derivative_1,2026
ethanol,30,0,0,0.0,,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,linear_svm,derivative_1,2026
ethyl_paraoxon,25,1,1,0.04,1.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,linear_svm,derivative_1,2026
4_nitrophenol,49,58,45,0.9183673469387755,0.7758620689655172,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,linear_svm,minimal_minmax,2026
acetaminophen,0,41,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,linear_svm,minimal_minmax,2026
benzyl_fentanyl,0,2,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,linear_svm,minimal_minmax,2026
ethanol,30,1,0,0.0,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,linear_svm,minimal_minmax,2026
ethyl_paraoxon,25,2,0,0.0,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,linear_svm,minimal_minmax,2026
4_ANPP,0,2,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,nearest_centroid,arpls_minmax,2026
4_nitrophenol,49,63,45,0.9183673469387755,0.7142857142857143,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,nearest_centroid,arpls_minmax,2026
acetaminophen,0,3,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,nearest_centroid,arpls_minmax,2026
benzyl_fentanyl,0,30,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,nearest_centroid,arpls_minmax,2026
blank,0,5,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,nearest_centroid,arpls_minmax,2026
ethanol,30,0,0,0.0,,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,nearest_centroid,arpls_minmax,2026
ethyl_paraoxon,25,1,0,0.0,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,nearest_centroid,arpls_minmax,2026
4_nitrophenol,49,63,46,0.9387755102040817,0.7301587301587301,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,nearest_centroid,derivative_1,2026
acetaminophen,0,29,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,nearest_centroid,derivative_1,2026
benzyl_fentanyl,0,7,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,nearest_centroid,derivative_1,2026
blank,0,5,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,nearest_centroid,derivative_1,2026
ethanol,30,0,0,0.0,,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,nearest_centroid,derivative_1,2026
ethyl_paraoxon,25,0,0,0.0,,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,nearest_centroid,derivative_1,2026
4_ANPP,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,nearest_centroid,minimal_minmax,2026
4_nitrophenol,49,30,11,0.22448979591836735,0.36666666666666664,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,nearest_centroid,minimal_minmax,2026
acetaminophen,0,2,0,,0.0,domain_transfer,domain__quality_pass__domain_only__sensor_family__H_SERS_H_Kit,classical,nearest_centroid,minimal_minmax,2026
