stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row90,0.00013549453141662306,6.774726570831153e-05,0.009177777389701486,0.9989779948570915,0.0023811369037555,0,0,0,0,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row91,0.01775794972984235,0.008878974864921174,0.11844422735589039,0.6487849691822678,0.05796150090372456,145,36,10,6,3.0,1.429701597255748,0.17356960847973824
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row111,0.0002522535031762025,0.00012612675158810125,0.030076807824801394,0.9934039677111247,0.0020439771101363087,14,13,2,2,1.0,0.10228107235725704,0.01636248378417804
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row112,0.0006739813340739455,0.00033699066703697276,0.039793925081577135,0.9889981676088364,0.003361955281481122,15,11,4,2,1.0,0.0873582589659965,0.02625001035630703
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row115,0.0002701153609525176,0.0001350576804762588,0.03154194541637811,0.9923845645919964,0.0024472665155709753,15,13,1,1,2.0,0.06252992523574387,0.027908816933631897
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row120,0.0005574501413278671,0.00027872507066393354,0.03698377541932881,0.9899085344405265,0.003541516727083425,16,12,1,1,1.0,0.07773576499900883,0.016689015552401543
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row190,0.0008846894747458292,0.0004423447373729146,0.06501408418495525,0.9540562479807402,0.01164551638544903,48,8,5,4,1.5,0.16833613707888742,0.059660487924702466
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row195,0.0028566987806928324,0.0014283493903464162,0.07781031019152482,0.8739600098223411,0.0226196806315316,94,13,10,3,1.0,0.9072489358494744,0.07569102942943573
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row202,0.0004906627455484636,0.0002453313727742318,0.024635011379757033,0.9832074651728493,0.009273572846182755,26,10,5,4,2.0,0.08190444916686798,0.023658383637666702
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row203,0.0009533888395090424,0.0004766944197545212,0.029226648996962652,0.9770850113761388,0.01258037359220907,41,10,7,6,2.5,0.41631062926094287,0.05575619637966156
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row207,0.00041765792617634123,0.00020882896308817062,0.021047155829259,0.9910067679545688,0.007784646741264233,18,10,3,2,1.0,0.1544500791137701,0.022699318826198578
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row213,0.0015346108605079345,0.0007673054302539672,0.023905035468209955,0.9830223434269487,0.01608496724494866,71,12,3,3,2.0,1.6402001384889549,0.035729438066482544
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row215,0.0012442094100947752,0.0006221047050473876,0.018929117927774772,0.9924412282937988,0.02095630911644548,107,12,3,1,2.0,3.261908081064438,0.027974963188171387
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row216,0.002073312839217654,0.001036656419608827,0.022726496051487317,0.9849921847668379,0.019589443719014527,90,8,3,1,2.5,1.3189134218159173,0.06147652864456177
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row218,0.0017327640997763408,0.0008663820498881704,0.025380873954998797,0.9792405667518788,0.016776387858470635,84,14,4,3,2.5,1.6168355386229474,0.05221891403198242
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row223,0.02026495546318845,0.010132477731594225,0.11271015262564041,0.5740875291557342,0.06354285253785617,145,34,15,8,2.0,1.3983663212947366,0.18224286660552025
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row225,0.021111092004581267,0.010555546002290634,0.12548419972512567,0.5475082347859624,0.056120046678531384,134,26,22,8,2.0,0.8359155111213208,0.27138345688581467
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row229,0.0018779009024306665,0.0009389504512153332,0.08354269817452904,0.8968928070055405,0.01934233764635532,94,11,8,4,1.0,1.5473207899679726,0.07618042826652527
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row287,0.00022360799782230627,0.00011180399891115313,0.018552810371857277,0.9967888873443822,0.003158711460418999,11,10,5,5,1.0,0.0651490849880237,0.02035243809223175
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row292,0.000955908126379804,0.000477954063189902,0.03680439226391519,0.9910518192675615,0.0030440555866861783,12,10,6,6,1.0,0.15823444194740305,0.03384483000263572
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row293,0.00044908172454649414,0.00022454086227324707,0.021509323189029782,0.9961129551809482,0.0019418349861786868,10,10,6,6,1.0,0.03855377090912282,0.016158741898834705
