heldout_substrate_family,poster_axis,stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,balanced_accuracy_supported,macro_f1_supported,macro_f1_union,n_test,n_test_supported,n_test_unsupported,unsupported_classes,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
PICO,400-1800_common,poster,poster_holdout_PICO,,classical,nearest_centroid,derivative_1,none,2026,0.88,0.8743163090860118,0.8743163090860118,75,75,0,,,,,,,,,,
PICO,400-1800_common,poster,poster_holdout_PICO,,classical,pca_logistic,derivative_1,none,2026,0.7200000000000001,0.6515174710092234,0.6515174710092234,75,75,0,,,,,,,,,,
PICO,400-1800_common,poster,poster_holdout_PICO,,classical,linear_svm,derivative_1,none,2026,0.7466666666666667,0.7009276829011174,0.7009276829011174,75,75,0,,,,,,,,,,
PICO,400-1800_common,poster,poster_holdout_PICO,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.6666666666666666,0.5555555555555555,0.5555555555555555,75,75,0,,,,,,,,,,
PICO,400-1800_common,poster,poster_holdout_PICO,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.6666666666666666,0.5555555555555555,0.5555555555555555,75,75,0,,,,,,,,,,
PICO,400-1800_common,poster,poster_holdout_PICO,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.7999999999999999,0.7802197802197802,0.7802197802197802,75,75,0,,,,,,,,,,
PICO,400-1800_common,poster,poster_holdout_PICO,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,0.8933333333333334,0.8905309250136836,0.8905309250136836,75,75,0,,0.015311676354784866,0.007655838177392433,0.09459365895699644,0.8379233571975637,0.010189448633352282,0.391304347826087,3.0,0.4990707123368381,0.09213142096996307
PICO,400-1800_common,poster,poster_holdout_PICO,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,0.84,0.8302207130730052,0.8302207130730052,75,75,0,,0.013595176740207169,0.006797588370103584,0.0894230211852704,0.858006809940453,0.010151286595027238,0.3979933110367893,2.0,0.9258016894444767,0.06798803806304932
PICO,400-1800_common,poster,poster_holdout_PICO,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,3141,1.0,1.0,1.0,75,75,0,,0.014576403187561295,0.007288201593780647,0.09293366766515804,0.852613991699945,0.010150037747652094,0.35785953177257523,3.0,0.5728827025433886,0.061720192432403564
PICO,400-1800_common,poster,poster_holdout_PICO,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,1729,0.9733333333333333,0.9732905982905984,0.9732905982905984,75,75,0,,0.014955770207884234,0.007477885103942117,0.13890622016291468,0.7624227331131671,0.01921127810740103,0.24308002013085053,2.0,0.4444613054575913,0.11583095043897629
PICO,400-1800_common,poster,poster_holdout_PICO,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,2718,0.7466666666666667,0.7039114851176563,0.7039114851176563,75,75,0,,0.01290766410201722,0.00645383205100861,0.13527150750651093,0.7993199243994004,0.019288739830054417,0.23754403623553094,2.5,0.547743428125697,0.11091841151937842
PICO,400-1800_common,poster,poster_holdout_PICO,,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,clean,3141,0.7733333333333334,0.7437057138549675,0.7437057138549675,75,75,0,,0.01268512127281654,0.00634256063640827,0.13161271484201936,0.8132855848922435,0.01920387363515945,0.2244589833920483,2.0,0.6978578575193394,0.1040903648827225
