evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition,stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row256,0.0029728244399094186,0.0014864122199547093,0.09773781545930034,0.9346977423743823,0.004028287142350564,11,4,0,0,3.0,0.26010724823246334,0.09090890146035235
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row259,0.022973710789287703,0.011486855394643851,0.19201380576967159,0.7329561454877297,0.010307869103978321,27,7,0,0,3.0,0.39396770145167176,0.039546556770801544
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row262,0.028864195580465293,0.014432097790232646,0.21759777696237678,0.6781222920733139,0.009362597793654318,21,6,0,0,2.0,0.5205831500662925,0.23697790772712324
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row265,0.031210992273979832,0.015605496136989916,0.20230620789531253,0.6122362989909864,0.011254888363847776,28,8,0,0,2.5,0.5268200713430357,0.08150193840265274
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row268,0.011748653344448055,0.005874326672224027,0.17283645865277866,0.7403177090593567,0.007989169826697824,19,8,0,0,2.0,0.37897100006363516,0.11898562498390675
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row271,0.012274584148986606,0.006137292074493303,0.1781986158388861,0.7786539319822836,0.010421215670981577,38,6,0,0,2.0,0.4757570411739942,0.040184136480093
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row275,0.002697769974449426,0.001348884987224713,0.11290816029417775,0.9106899061545162,0.0053898870436075545,13,5,0,0,2.0,0.26763834723360985,0.06757394986925647
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row279,0.0021194273845526654,0.0010597136922763327,0.08735580253062693,0.9465634393480279,0.004469345020396369,12,3,0,0,3.0,0.25748559356745165,0.047914776019752026
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row283,0.011846920379395377,0.005923460189697688,0.18225529049780687,0.7800707627971298,0.01101368559857032,41,5,0,0,1.0,0.14591804201499145,0.10619996674358845
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row286,0.01277408514104446,0.00638704257052223,0.14909363288849625,0.800831803660505,0.015245284111172493,67,8,0,0,1.5,0.7459154508837034,0.08665604330599308
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row288,0.0022541228417465357,0.0011270614208732678,0.0924657069369019,0.9460600118553653,0.004003332436217794,11,4,0,0,3.5,0.24093490629644598,0.10086363321170211
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row291,0.002261295245182519,0.0011306476225912594,0.09166400798425757,0.9462602899882556,0.004000080757375274,11,4,0,0,2.5,0.21372178838408967,0.08623284939676523
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row294,0.0019331925911857833,0.0009665962955928916,0.0878345304138635,0.950915050703137,0.004556446417201577,13,3,0,0,2.0,0.15985705151396035,0.05730856047011912
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row303,0.01793607672919681,0.008968038364598405,0.17604720860111583,0.7718180227244971,0.01015171681430989,30,7,0,0,2.0,0.08252643191427377,0.04230413772165775
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row308,0.010149012813846583,0.005074506406923291,0.1040411033352993,0.9091329242105909,0.006814486778208188,17,4,0,0,1.5,0.24094606698939786,0.1628287584753707
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row309,0.0024647506840466465,0.0012323753420233233,0.09200613312090294,0.9455413014036251,0.004045524663025779,12,3,0,0,2.0,0.2048154305764703,0.05647262732964009
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row314,0.005832547373906165,0.0029162736869530826,0.0954994577644038,0.9246488581958894,0.005584743810634661,11,7,0,0,2.0,0.13846720899857864,0.08882795670069754
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row336,0.008435975053618957,0.004217987526809478,0.09978278650375683,0.9190951919357425,0.005322801080296163,12,5,0,0,1.0,0.41007011672909915,0.15286157606169581
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row337,0.00945048272025604,0.00472524136012802,0.1041983445615189,0.9105513489583418,0.004810132095590234,11,4,0,0,1.5,0.3950346958116793,0.09409192949533463
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row338,0.01334666842252627,0.006673334211263135,0.11670490484207838,0.8790399114634082,0.0054125727416664765,11,4,0,0,0.5,0.3258623973089174,0.08639423782005906
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row339,0.010858334989089528,0.005429167494544764,0.09930191365745275,0.910423318645787,0.006245163114674921,12,4,0,0,1.5,0.595166450256488,0.21376505866646767
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row341,0.011406759390948687,0.005703379695474344,0.11457658927709767,0.8937524477445262,0.005679594143930724,13,6,0,0,1.5,0.36932645759869165,0.17010431263770442
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row343,0.007150467992824239,0.0035752339964121196,0.08584619980507271,0.9438655969243263,0.004887143525411375,10,2,0,0,2.0,0.5822423573189666,0.06838898360729218
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,session3_row226,0.007067673354835067,0.0035338366774175334,0.14088812953128071,0.835707085638551,0.005731430663893531,14,5,0,0,2.0,0.1636457027004617,0.08897709241136909
