stage,subset,protocol,domain_type,heldout_domain,variant,candidate_id,representation,architecture,embedding_dimension,declared_seed,run_seed,epochs,temperature,name,classification_weight,supervised_contrastive_weight,pair_margin_weight,contrastive_temperature,pair_margin,domain_aware_positives,hard_negative_mining,domain_balanced_batches,encoder_parameters,classifier_parameters,total_parameters,state_sha256
domain,strict_core,domain_and_sample,sensor_family,GaN_polymer,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,185150623,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,4be2c68d0cb1451e964db0c069dd4669453742269d27d1406f780a6fbfe8285b
domain,strict_core,domain_and_sample,sensor_family,H_SERS_H_Kit,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,550696171,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,260,719844,0a0237aa3809039fc972706349127f468b772f0eed8e21ab1d7db15e5ebaa9fd
domain,strict_core,domain_and_sample,sensor_family,H_SERS_H_Kit,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,698807119,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,260,719844,71b0686e8506f0db19b1ed9c936e1e20bb69dedda418854d905d5f02389e68f5
domain,strict_core,domain_and_sample,sensor_family,H_SERS_H_Kit,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,815309777,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,260,719844,8108314df718891dd063d2bdc93a172acc25ee8d5434764f340346da4c3f34aa
domain,strict_core,domain_and_sample,sensor_family,NRC_Canadian_SERS,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,2030722054,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,390,719974,b3109dbb5864405a95d4b8830cb559a0bd5fe8f76574d59e657a16ccba6fb227
domain,strict_core,domain_and_sample,sensor_family,NRC_Canadian_SERS,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,1983406240,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,390,719974,d834211058c6c2748573c7527a74a7814f5884be4411c3fe948990f81823d6a2
domain,strict_core,domain_and_sample,sensor_family,NRC_Canadian_SERS,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,1960548570,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,390,719974,7e59bfaed8d22e07aa6390d1bdd3289056fc40f7b547fd270464965ec520e951
domain,strict_core,domain_and_sample,sensor_family,pSERS_Metrohm_silver,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,2065976154,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,195,719779,7cfc16612432f5455e838f69bddaa37c1a3b73492556ed6ea9526b7507dc2210
domain,strict_core,domain_and_sample,sensor_family,pSERS_Metrohm_silver,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,747949674,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,195,719779,773906ced2c37a27eea9b029690de5128dab48353c19512e63c20ddc2bc9ff12
domain,strict_core,domain_and_sample,sensor_family,pSERS_Metrohm_silver,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,1611756660,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,195,719779,cafc43fcfaf770ac5d89a9657244c3ec6ded7c3996e98d23a5934dcc52c35ee6
domain,strict_core,domain_only,instrument,Agilent-1,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,1433485762,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,91a18920734f8b541cd02242ab8f5f9a8c7a39c83f55f55532c5e2aa424f3ab7
domain,strict_core,domain_only,instrument,Agilent-1,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,2074515519,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,008929030c4e2da819c158149d7c3e25c9dc887fe291295a2642cdf88f571690
domain,strict_core,domain_only,instrument,Agilent-1,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,1381762244,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,b4c33fdeb723248e28f1681dd0d50dc48ea1141a8c30d043d1b16907ede8cbf8
domain,strict_core,domain_only,instrument,Agilent-3,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,1109266547,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,0152d724827a1323d6bca87aeb8a462554ee534740fea884085776a10acccde2
domain,strict_core,domain_only,instrument,Agilent-3,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,196906737,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,73e1562edf3b4c73f8e9ade029ee953f5123e283684ce1243c4616366c6c5124
domain,strict_core,domain_only,instrument,Agilent-3,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,1088659661,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,1f1eee29473391ae2497457997981ec53242a0bdb9e84f92558d3fe1366132db
domain,strict_core,domain_only,instrument,Mira-1,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,1618035934,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,a05a849338b5796ab40e425eede4f4dd105025fb210427c15bb9fc77b422e089
