stage,training_subset,outer_fold,variant,candidate_id,declared_seed,run_seed,epochs,temperature,name,representation,architecture,embedding_dimension,classification_weight,supervised_contrastive_weight,pair_margin_weight,contrastive_temperature,pair_margin,domain_aware_positives,hard_negative_mining,domain_balanced_batches,encoder_parameters,classifier_parameters,total_parameters,state_sha256
outer,quality_pass,0,preprocessing_sensitivity_minimal_minmax,preprocessing_sensitivity_minimal_minmax__minimal_minmax__legacy32__e3894a6bdac9,2718,1414358086,70,1.0,preprocessing_sensitivity_minimal_minmax,minimal_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,True,361152,231,361383,61e4e15f47601b394ef1c51b76c8b940a3bfcfaef7642790a7a085425b9ee56d
outer,quality_pass,0,preprocessing_sensitivity_minimal_minmax,preprocessing_sensitivity_minimal_minmax__minimal_minmax__legacy32__e3894a6bdac9,3141,834652553,70,1.0,preprocessing_sensitivity_minimal_minmax,minimal_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,True,361152,231,361383,2eb720518e0cf69b85e3c9a41f0605a54c1cef45fba0535744d1df9a35232777
outer,quality_pass,0,preprocessing_sensitivity_derivative_1,preprocessing_sensitivity_derivative_1__derivative_1__legacy32__07c9da85aebb,1729,1108088444,70,1.0,preprocessing_sensitivity_derivative_1,derivative_1,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,True,361152,231,361383,79460095f275f22e7468b8aefb36fd8b6a1c3a1b3e0b75bdef471643349ed8c1
outer,quality_pass,0,preprocessing_sensitivity_derivative_1,preprocessing_sensitivity_derivative_1__derivative_1__legacy32__07c9da85aebb,2718,1871963533,70,1.0,preprocessing_sensitivity_derivative_1,derivative_1,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,True,361152,231,361383,5487469158272a9d569846dbafec2df2bfa4b5487d9dbba4ad001b6a7d620a0e
outer,quality_pass,0,preprocessing_sensitivity_derivative_1,preprocessing_sensitivity_derivative_1__derivative_1__legacy32__07c9da85aebb,3141,1934968965,70,1.0,preprocessing_sensitivity_derivative_1,derivative_1,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,True,361152,231,361383,5bc8830389f0eed3adaec63e03ba2554ba7555e2be45efa791920fd281269e31
outer,strict_core,1,full_domain_aware,full_domain_aware__minimal_minmax__legacy64__051dfe345fd2,1729,635581811,66,0.7856581886099233,full_domain_aware,minimal_minmax,legacy,64,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,d59c4c8e7db26b1322bc45d34e690417206a6da8955a59a431b70573055f42dd
outer,strict_core,1,full_domain_aware,full_domain_aware__minimal_minmax__legacy64__051dfe345fd2,2718,725303392,66,0.7856581886099233,full_domain_aware,minimal_minmax,legacy,64,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,7985c30796d30a1169771a15d763bd936a04b0a4182b13014f54dcf96228ffcc
outer,strict_core,1,full_domain_aware,full_domain_aware__minimal_minmax__legacy64__051dfe345fd2,3141,911321965,66,0.7856581886099233,full_domain_aware,minimal_minmax,legacy,64,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,68c7a1937c0e8cb7d8b3654625e578055ed70f610b998cd9bc565081d3fb727a
outer,strict_core,1,cross_entropy_only,cross_entropy_only__minimal_minmax__legacy64__8c2a8081a5fd,1729,517805101,66,1.0,cross_entropy_only,minimal_minmax,legacy,64,1.0,0.0,0.0,0.1,0.2,False,False,False,719584,455,720039,1e4dd4a540a8522f1a6a5fe2452658e9d2ec99743020556cf3e39cd025144a42
outer,strict_core,1,cross_entropy_only,cross_entropy_only__minimal_minmax__legacy64__8c2a8081a5fd,2718,1650095152,66,1.0,cross_entropy_only,minimal_minmax,legacy,64,1.0,0.0,0.0,0.1,0.2,False,False,False,719584,455,720039,d74d071af4f5475431680c1e16cbd46796f84279a72e9aafc34df39d9a0a5c75
