alpha,l1_ratio,share_threshold,exact_match,micro_precision,micro_recall,micro_f1,mean_true_labels,mean_predicted_labels,zero_prediction_rate,mean_residual_norm
0.01,0.95,0.1,0.5327586206896552,0.674435542607429,0.7982758620689655,0.7311488353730754,2.0,2.367241379310345,0.0,2025.328164042096
0.01,1.0,0.1,0.5327586206896552,0.674435542607429,0.7982758620689655,0.7311488353730754,2.0,2.367241379310345,0.0,2025.3281720469151
0.03,0.2,0.1,0.5327586206896552,0.674435542607429,0.7982758620689655,0.7311488353730754,2.0,2.367241379310345,0.0,2025.3281239993269
0.03,0.5,0.1,0.5327586206896552,0.674435542607429,0.7982758620689655,0.7311488353730754,2.0,2.367241379310345,0.0,2025.3282765808651
0.03,0.8,0.1,0.5327586206896552,0.674435542607429,0.7982758620689655,0.7311488353730754,2.0,2.367241379310345,0.0,2025.3285192278558
0.03,0.95,0.1,0.5327586206896552,0.674435542607429,0.7982758620689655,0.7311488353730754,2.0,2.367241379310345,0.0,2025.32868331992
0.03,1.0,0.1,0.5327586206896552,0.674435542607429,0.7982758620689655,0.7311488353730754,2.0,2.367241379310345,0.0,2025.3287430551713
0.1,0.2,0.1,0.5327586206896552,0.674435542607429,0.7982758620689655,0.7311488353730754,2.0,2.367241379310345,0.0,2025.3284234954494
0.1,0.95,0.08,0.5,0.6423308774279973,0.8267241379310345,0.7229551451187335,2.0,2.5741379310344827,0.0,2025.3308373721072
0.1,1.0,0.08,0.5,0.6423308774279973,0.8267241379310345,0.7229551451187335,2.0,2.5741379310344827,0.0,2025.3309014701815
0.01,0.8,0.08,0.4982758620689655,0.64190093708166,0.8267241379310345,0.7226827430293896,2.0,2.575862068965517,0.0,2025.3281429619794
0.01,0.95,0.08,0.4982758620689655,0.64190093708166,0.8267241379310345,0.7226827430293896,2.0,2.575862068965517,0.0,2025.328164042096
0.01,1.0,0.08,0.4982758620689655,0.64190093708166,0.8267241379310345,0.7226827430293896,2.0,2.575862068965517,0.0,2025.3281720469151
0.03,0.5,0.08,0.4982758620689655,0.64190093708166,0.8267241379310345,0.7226827430293896,2.0,2.575862068965517,0.0,2025.3282765808651
0.03,0.8,0.08,0.4982758620689655,0.64190093708166,0.8267241379310345,0.7226827430293896,2.0,2.575862068965517,0.0,2025.3285192278558
0.03,0.95,0.08,0.4982758620689655,0.64190093708166,0.8267241379310345,0.7226827430293896,2.0,2.575862068965517,0.0,2025.32868331992
0.03,1.0,0.08,0.4982758620689655,0.64190093708166,0.8267241379310345,0.7226827430293896,2.0,2.575862068965517,0.0,2025.3287430551713
0.1,0.2,0.08,0.4982758620689655,0.64190093708166,0.8267241379310345,0.7226827430293896,2.0,2.575862068965517,0.0,2025.3284234954494
0.1,0.5,0.08,0.4982758620689655,0.64190093708166,0.8267241379310345,0.7226827430293896,2.0,2.575862068965517,0.0,2025.329658465513
0.1,0.8,0.08,0.4982758620689655,0.64190093708166,0.8267241379310345,0.7226827430293896,2.0,2.575862068965517,0.0,2025.3306196294116
0.0001,0.2,0.08,0.4982758620689655,0.6416610850636303,0.8258620689655173,0.7222012815680362,2.0,2.5741379310344827,0.0,2025.328086336049
0.0001,0.5,0.08,0.4982758620689655,0.6416610850636303,0.8258620689655173,0.7222012815680362,2.0,2.5741379310344827,0.0,2025.328086331693
0.0001,0.8,0.08,0.4982758620689655,0.6416610850636303,0.8258620689655173,0.7222012815680362,2.0,2.5741379310344827,0.0,2025.32808632883
0.0001,0.95,0.08,0.4982758620689655,0.6416610850636303,0.8258620689655173,0.7222012815680362,2.0,2.5741379310344827,0.0,2025.328086327954
0.0001,1.0,0.08,0.4982758620689655,0.6416610850636303,0.8258620689655173,0.7222012815680362,2.0,2.5741379310344827,0.0,2025.3280863277437
0.0003,0.2,0.08,0.4982758620689655,0.6416610850636303,0.8258620689655173,0.7222012815680362,2.0,2.5741379310344827,0.0,2025.328086380537
0.0003,0.5,0.08,0.4982758620689655,0.6416610850636303,0.8258620689655173,0.7222012815680362,2.0,2.5741379310344827,0.0,2025.3280863780722
0.0003,0.8,0.08,0.4982758620689655,0.6416610850636303,0.8258620689655173,0.7222012815680362,2.0,2.5741379310344827,0.0,2025.3280863903235
0.0003,0.95,0.08,0.4982758620689655,0.6416610850636303,0.8258620689655173,0.7222012815680362,2.0,2.5741379310344827,0.0,2025.3280864008932
0.0003,1.0,0.08,0.4982758620689655,0.6416610850636303,0.8258620689655173,0.7222012815680362,2.0,2.5741379310344827,0.0,2025.3280864051142
0.001,0.2,0.08,0.4982758620689655,0.6416610850636303,0.8258620689655173,0.7222012815680362,2.0,2.5741379310344827,0.0,2025.3280862323852
0.001,0.5,0.08,0.4982758620689655,0.6416610850636303,0.8258620689655173,0.7222012815680362,2.0,2.5741379310344827,0.0,2025.3280871124973
0.001,0.8,0.08,0.4982758620689655,0.6416610850636303,0.8258620689655173,0.7222012815680362,2.0,2.5741379310344827,0.0,2025.3280873759738
0.001,0.95,0.08,0.4982758620689655,0.6416610850636303,0.8258620689655173,0.7222012815680362,2.0,2.5741379310344827,0.0,2025.328087562814
0.001,1.0,0.08,0.4982758620689655,0.6416610850636303,0.8258620689655173,0.7222012815680362,2.0,2.5741379310344827,0.0,2025.3280876336387
0.003,0.2,0.08,0.4982758620689655,0.6416610850636303,0.8258620689655173,0.7222012815680362,2.0,2.5741379310344827,0.0,2025.3280873784313
0.003,0.5,0.08,0.4982758620689655,0.6416610850636303,0.8258620689655173,0.7222012815680362,2.0,2.5741379310344827,0.0,2025.3280891040188
0.003,0.8,0.08,0.4982758620689655,0.6416610850636303,0.8258620689655173,0.7222012815680362,2.0,2.5741379310344827,0.0,2025.3280925947643
0.003,0.95,0.08,0.4982758620689655,0.6416610850636303,0.8258620689655173,0.7222012815680362,2.0,2.5741379310344827,0.0,2025.3280944442874
0.003,1.0,0.08,0.4982758620689655,0.6416610850636303,0.8258620689655173,0.7222012815680362,2.0,2.5741379310344827,0.0,2025.3280951371632
0.01,0.2,0.08,0.4982758620689655,0.6416610850636303,0.8258620689655173,0.7222012815680362,2.0,2.5741379310344827,0.0,2025.3280916218855
0.01,0.5,0.08,0.4982758620689655,0.6416610850636303,0.8258620689655173,0.7222012815680362,2.0,2.5741379310344827,0.0,2025.3281102675603
0.03,0.2,0.08,0.4982758620689655,0.6416610850636303,0.8258620689655173,0.7222012815680362,2.0,2.5741379310344827,0.0,2025.3281239993269
0.1,0.5,0.05,0.35517241379310344,0.5541076487252125,0.843103448275862,0.6687179487179488,2.0,3.043103448275862,0.0,2025.329658465513
0.1,0.8,0.05,0.35517241379310344,0.5541076487252125,0.843103448275862,0.6687179487179488,2.0,3.043103448275862,0.0,2025.3306196294116
0.1,0.95,0.05,0.35517241379310344,0.5541076487252125,0.843103448275862,0.6687179487179488,2.0,3.043103448275862,0.0,2025.3308373721072
0.1,1.0,0.05,0.35517241379310344,0.5541076487252125,0.843103448275862,0.6687179487179488,2.0,3.043103448275862,0.0,2025.3309014701815
0.0001,0.2,0.05,0.35517241379310344,0.5537938844847112,0.843103448275862,0.6684894053315106,2.0,3.0448275862068965,0.0,2025.328086336049
0.0001,0.5,0.05,0.35517241379310344,0.5537938844847112,0.843103448275862,0.6684894053315106,2.0,3.0448275862068965,0.0,2025.328086331693
0.0001,0.8,0.05,0.35517241379310344,0.5537938844847112,0.843103448275862,0.6684894053315106,2.0,3.0448275862068965,0.0,2025.32808632883
0.0001,0.95,0.05,0.35517241379310344,0.5537938844847112,0.843103448275862,0.6684894053315106,2.0,3.0448275862068965,0.0,2025.328086327954
0.0001,1.0,0.05,0.35517241379310344,0.5537938844847112,0.843103448275862,0.6684894053315106,2.0,3.0448275862068965,0.0,2025.3280863277437
0.0003,0.2,0.05,0.35517241379310344,0.5537938844847112,0.843103448275862,0.6684894053315106,2.0,3.0448275862068965,0.0,2025.328086380537
0.0003,0.5,0.05,0.35517241379310344,0.5537938844847112,0.843103448275862,0.6684894053315106,2.0,3.0448275862068965,0.0,2025.3280863780722
0.0003,0.8,0.05,0.35517241379310344,0.5537938844847112,0.843103448275862,0.6684894053315106,2.0,3.0448275862068965,0.0,2025.3280863903235
