wavenumber,mean,std
1543.075269,940.023384476,809.7610075732323
1545.2913,942.330521612,814.956176603338
1547.507331,943.616100456,823.2629101943396
1549.723363,944.4735074399999,827.8579152098107
1551.939394,948.1955584240001,833.8996039425311
1554.155425,949.83781716,839.1538591687679
1556.371457,949.6479264399999,840.8286281920855
1558.587488,951.9059104319999,846.8246702821181
1560.803519,955.297808784,852.3850903251185
1563.01955,957.5962463239999,859.1432144464748
1565.235582,961.5230808599999,871.9901184862149
1567.451613,964.6599314079999,887.8223696807195
1569.667644,970.062077684,914.6672626223814
1571.883675,971.6469652440001,932.6832913752546
1574.099707,972.6099357520001,937.3594612643653
1576.315738,974.2215715159999,941.0042813422588
1578.531769,969.0042074280001,940.7983882797809
1580.747801,963.5981784600001,929.5168455289817
1582.963832,960.8101940559999,919.254957479398
1585.179863,953.4264845240001,899.2065619953653
1587.395894,946.285322804,876.0243569999616
1589.611926,938.9320437679999,851.12983979528
1591.827957,929.845107912,825.9681250373994
1594.043988,922.715401704,807.5022157186265
1596.26002,916.1255695479999,795.2490482236609
1598.476051,911.2213545279999,791.7246817647822
1600.692082,906.3414368360001,784.1974274373571
1602.908113,902.08481604,780.012605098002
1605.124145,895.6412627560001,764.5041825678975
1607.340176,886.9027195400001,745.1388325987414
1609.556207,877.882351148,723.1947311745624
1611.772239,868.842638932,709.5776013665828
1613.98827,855.2676013560001,690.8819528408518
1616.204301,840.1365474160001,672.4795234403967
1618.420332,824.6315575560001,654.2255888846838
1620.636364,812.0637861639999,637.2353494023339
1622.852395,799.9485537400001,623.4313033965473
1625.068426,786.9275671239999,606.5329859700526
1627.284457,772.793541956,588.449220604084
1629.500489,760.267426672,564.064753846313
1631.71652,748.9287028680001,543.9845206808592
1633.932551,737.9141132240001,524.2701651892594
1636.148583,725.76938198,499.5571840036855
1638.364614,712.092823268,479.01886905309794
1640.580645,700.49411144,455.4025448360355
1642.796676,689.0503579919999,432.2138692940024
1645.012708,678.3186781920001,413.0699062362858
1647.228739,671.236893208,395.50630664810154
1649.44477,660.39786068,375.31278204909205
1651.660802,652.4408882880001,357.32163941249803
1653.876833,642.930498684,346.92150209417997
1656.092864,636.919043704,335.1944468571036
1658.308895,630.425076196,322.873655827953
1660.524927,626.93235782,318.14405608195443
1662.740958,622.175818952,312.99593639743165
1664.956989,618.02393192,308.7784470956156
1667.173021,611.266818664,304.6861225093787
1669.389052,608.4935068560001,299.13247528483885
1671.605083,607.738940708,298.4496958639209
1673.821114,606.071765216,295.5567391120735
1676.037146,602.714285316,292.3447462241787
1678.253177,599.282314896,287.88962148203746
1680.469208,598.567988444,283.4340967185762
1682.685239,595.887606596,279.87141681075576
1684.901271,592.2374301479999,276.4238831335024
1687.117302,592.551354996,273.95848651426735
1689.333333,591.222605168,269.50649477456153
1691.549365,587.1886108,260.8737389134048
1693.765396,583.4784359600001,259.3505266342132
1695.981427,581.969628212,253.4126640848229
1698.197458,579.9771597800001,252.9924727309273
1700.41349,578.979291152,249.69987975084766
1702.629521,574.07230424,244.2162784083891
1704.845552,573.8132579359999,238.8741136063954
1707.061584,572.911589036,240.07251961962115
1709.277615,572.3604171879999,237.7628904316748
1711.493646,570.714351856,236.2106908550007
1713.709677,568.266745948,235.20029033152252
1715.925709,566.393109928,231.43464590843118
1718.14174,566.3312512,228.88196653030178
1720.357771,564.30953864,228.67914962487728
1722.573803,562.045901276,227.03045948130116
1724.789834,560.104723124,222.26158551586752
1727.005865,558.772572324,219.5590286613123
1729.221896,555.87494808,219.33885690547444
1731.437928,553.561662456,215.35058209566654
1733.653959,552.361402476,214.96052901229203
1735.86999,549.2425339920001,214.8293996823953
1738.086022,548.8472086319999,212.22820247665427
1740.302053,546.132399148,214.6926062578715
1742.518084,542.806524728,209.23351928961068
1744.734115,542.141137628,208.52683001546833
1746.950147,540.6560717839999,206.06025691850635
