held_unknown,outer_fold,inner_fold,surrogate_unknown,train_known,locked_held_unknown,locked_stress,excluded_outer_known_test,validation_known,excluded_surrogate_training,validation_surrogate_unknown
benzyl_fentanyl,4,3,acetaminophen,191,120,93,74,66,41,13
benzyl_fentanyl,4,3,ethanol,209,120,93,74,70,23,9
benzyl_fentanyl,4,3,ethyl_paraoxon,214,120,93,74,67,18,12
ethanol,0,1,4_ANPP,211,62,75,95,77,60,18
ethanol,0,1,4_nitrophenol,231,62,75,95,77,40,18
ethanol,0,1,acetaminophen,232,62,75,95,82,39,13
ethanol,0,1,benzyl_fentanyl,203,62,75,95,72,68,23
ethanol,0,1,ethyl_paraoxon,249,62,75,95,83,22,12
ethanol,0,2,4_ANPP,219,62,75,95,69,58,20
ethanol,0,2,4_nitrophenol,230,62,75,95,78,47,11
ethanol,0,2,acetaminophen,239,62,75,95,75,38,14
ethanol,0,2,benzyl_fentanyl,209,62,75,95,66,68,23
ethanol,0,2,ethyl_paraoxon,246,62,75,95,86,31,3
ethanol,0,3,4_ANPP,215,62,75,95,73,59,19
ethanol,0,3,4_nitrophenol,231,62,75,95,77,43,15
ethanol,0,3,acetaminophen,235,62,75,95,79,39,13
ethanol,0,3,benzyl_fentanyl,205,62,75,95,70,69,22
ethanol,0,3,ethyl_paraoxon,252,62,75,95,80,22,12
ethanol,0,4,4_ANPP,219,62,75,95,69,57,21
ethanol,0,4,4_nitrophenol,232,62,75,95,76,44,14
ethanol,0,4,acetaminophen,236,62,75,95,78,40,12
ethanol,0,4,benzyl_fentanyl,208,62,75,95,67,68,23
ethanol,0,4,ethyl_paraoxon,249,62,75,95,83,27,7
ethanol,1,0,4_ANPP,211,62,75,95,75,60,20
ethanol,1,0,4_nitrophenol,231,62,75,95,79,40,16
ethanol,1,0,acetaminophen,232,62,75,95,81,39,14
ethanol,1,0,benzyl_fentanyl,203,62,75,95,71,68,24
ethanol,1,0,ethyl_paraoxon,249,62,75,95,92,22,3
ethanol,1,2,4_ANPP,217,62,75,95,69,60,20
ethanol,1,2,4_nitrophenol,232,62,75,95,78,45,11
ethanol,1,2,acetaminophen,238,62,75,95,75,39,14
ethanol,1,2,benzyl_fentanyl,208,62,75,95,66,69,23
ethanol,1,2,ethyl_paraoxon,255,62,75,95,86,22,3
ethanol,1,3,4_ANPP,213,62,75,95,73,61,19
ethanol,1,3,4_nitrophenol,233,62,75,95,77,41,15
ethanol,1,3,acetaminophen,234,62,75,95,79,40,13
ethanol,1,3,benzyl_fentanyl,204,62,75,95,70,70,22
ethanol,1,3,ethyl_paraoxon,261,62,75,95,80,13,12
ethanol,1,4,4_ANPP,217,62,75,95,69,59,21
ethanol,1,4,4_nitrophenol,234,62,75,95,76,42,14
ethanol,1,4,acetaminophen,235,62,75,95,78,41,12
ethanol,1,4,benzyl_fentanyl,207,62,75,95,67,69,23
ethanol,1,4,ethyl_paraoxon,258,62,75,95,83,18,7
ethanol,2,0,4_ANPP,219,62,75,89,75,58,20
ethanol,2,0,4_nitrophenol,230,62,75,89,79,47,16
ethanol,2,0,acetaminophen,239,62,75,89,81,38,14
ethanol,2,0,benzyl_fentanyl,209,62,75,89,71,68,24
ethanol,2,0,ethyl_paraoxon,246,62,75,89,92,31,3
ethanol,2,1,4_ANPP,217,62,75,89,77,60,18
ethanol,2,1,4_nitrophenol,232,62,75,89,77,45,18
ethanol,2,1,acetaminophen,238,62,75,89,82,39,13
ethanol,2,1,benzyl_fentanyl,208,62,75,89,72,69,23
ethanol,2,1,ethyl_paraoxon,255,62,75,89,83,22,12
ethanol,2,3,4_ANPP,221,62,75,89,73,59,19
ethanol,2,3,4_nitrophenol,232,62,75,89,77,48,15
ethanol,2,3,acetaminophen,241,62,75,89,79,39,13
ethanol,2,3,benzyl_fentanyl,210,62,75,89,70,70,22
ethanol,2,3,ethyl_paraoxon,258,62,75,89,80,22,12
ethanol,2,4,4_ANPP,225,62,75,89,69,57,21
ethanol,2,4,4_nitrophenol,233,62,75,89,76,49,14
ethanol,2,4,acetaminophen,242,62,75,89,78,40,12
ethanol,2,4,benzyl_fentanyl,213,62,75,89,67,69,23
ethanol,2,4,ethyl_paraoxon,255,62,75,89,83,27,7
ethanol,3,0,4_ANPP,215,62,75,92,75,59,20
ethanol,3,0,4_nitrophenol,231,62,75,92,79,43,16
ethanol,3,0,acetaminophen,235,62,75,92,81,39,14
ethanol,3,0,benzyl_fentanyl,205,62,75,92,71,69,24
ethanol,3,0,ethyl_paraoxon,252,62,75,92,92,22,3
ethanol,3,1,4_ANPP,213,62,75,92,77,61,18
ethanol,3,1,4_nitrophenol,233,62,75,92,77,41,18
ethanol,3,1,acetaminophen,234,62,75,92,82,40,13
ethanol,3,1,benzyl_fentanyl,204,62,75,92,72,70,23
ethanol,3,1,ethyl_paraoxon,261,62,75,92,83,13,12
ethanol,3,2,4_ANPP,221,62,75,92,69,59,20
ethanol,3,2,4_nitrophenol,232,62,75,92,78,48,11
ethanol,3,2,acetaminophen,241,62,75,92,75,39,14
ethanol,3,2,benzyl_fentanyl,210,62,75,92,66,70,23
ethanol,3,2,ethyl_paraoxon,258,62,75,92,86,22,3
ethanol,3,4,4_ANPP,221,62,75,92,69,58,21
ethanol,3,4,4_nitrophenol,234,62,75,92,76,45,14
ethanol,3,4,acetaminophen,238,62,75,92,78,41,12
ethanol,3,4,benzyl_fentanyl,209,62,75,92,67,70,23
ethanol,3,4,ethyl_paraoxon,261,62,75,92,83,18,7
ethanol,4,0,4_ANPP,219,62,75,90,75,57,20
ethanol,4,0,4_nitrophenol,232,62,75,90,79,44,16
ethanol,4,0,acetaminophen,236,62,75,90,81,40,14
ethanol,4,0,benzyl_fentanyl,208,62,75,90,71,68,24
ethanol,4,0,ethyl_paraoxon,249,62,75,90,92,27,3
ethanol,4,1,4_ANPP,217,62,75,90,77,59,18
ethanol,4,1,4_nitrophenol,234,62,75,90,77,42,18
ethanol,4,1,acetaminophen,235,62,75,90,82,41,13
ethanol,4,1,benzyl_fentanyl,207,62,75,90,72,69,23
ethanol,4,1,ethyl_paraoxon,258,62,75,90,83,18,12
ethanol,4,2,4_ANPP,225,62,75,90,69,57,20
ethanol,4,2,4_nitrophenol,233,62,75,90,78,49,11
ethanol,4,2,acetaminophen,242,62,75,90,75,40,14
ethanol,4,2,benzyl_fentanyl,213,62,75,90,66,69,23
ethanol,4,2,ethyl_paraoxon,255,62,75,90,86,27,3
ethanol,4,3,4_ANPP,221,62,75,90,73,58,19
ethanol,4,3,4_nitrophenol,234,62,75,90,77,45,15
ethanol,4,3,acetaminophen,238,62,75,90,79,41,13
ethanol,4,3,benzyl_fentanyl,209,62,75,90,70,70,22
ethanol,4,3,ethyl_paraoxon,261,62,75,90,80,18,12
ethyl_paraoxon,0,1,4_ANPP,211,54,81,100,74,60,18
ethyl_paraoxon,0,1,4_nitrophenol,231,54,81,100,74,40,18
ethyl_paraoxon,0,1,acetaminophen,232,54,81,100,79,39,13
ethyl_paraoxon,0,1,benzyl_fentanyl,203,54,81,100,69,68,23
ethyl_paraoxon,0,1,ethanol,249,54,81,100,83,22,9
ethyl_paraoxon,0,2,4_ANPP,213,54,81,100,72,58,20
ethyl_paraoxon,0,2,4_nitrophenol,224,54,81,100,81,47,11
ethyl_paraoxon,0,2,acetaminophen,233,54,81,100,78,38,14
ethyl_paraoxon,0,2,benzyl_fentanyl,203,54,81,100,69,68,23
ethyl_paraoxon,0,2,ethanol,246,54,81,100,86,25,6
ethyl_paraoxon,0,3,4_ANPP,215,54,81,100,70,59,19
ethyl_paraoxon,0,3,4_nitrophenol,231,54,81,100,74,43,15
ethyl_paraoxon,0,3,acetaminophen,235,54,81,100,76,39,13
ethyl_paraoxon,0,3,benzyl_fentanyl,205,54,81,100,67,69,22
ethyl_paraoxon,0,3,ethanol,252,54,81,100,80,22,9
ethyl_paraoxon,0,4,4_ANPP,216,54,81,100,69,57,21
ethyl_paraoxon,0,4,4_nitrophenol,229,54,81,100,76,44,14
ethyl_paraoxon,0,4,acetaminophen,233,54,81,100,78,40,12
ethyl_paraoxon,0,4,benzyl_fentanyl,205,54,81,100,67,68,23
ethyl_paraoxon,0,4,ethanol,249,54,81,100,83,24,7
ethyl_paraoxon,1,0,4_ANPP,211,54,81,92,80,60,20
ethyl_paraoxon,1,0,4_nitrophenol,231,54,81,92,84,40,16
ethyl_paraoxon,1,0,acetaminophen,232,54,81,92,86,39,14
ethyl_paraoxon,1,0,benzyl_fentanyl,203,54,81,92,76,68,24
ethyl_paraoxon,1,0,ethanol,249,54,81,92,92,22,8
ethyl_paraoxon,1,2,4_ANPP,219,54,81,92,72,60,20
ethyl_paraoxon,1,2,4_nitrophenol,234,54,81,92,81,45,11
ethyl_paraoxon,1,2,acetaminophen,240,54,81,92,78,39,14
ethyl_paraoxon,1,2,benzyl_fentanyl,210,54,81,92,69,69,23
ethyl_paraoxon,1,2,ethanol,255,54,81,92,86,24,6
ethyl_paraoxon,1,3,4_ANPP,221,54,81,92,70,61,19
ethyl_paraoxon,1,3,4_nitrophenol,241,54,81,92,74,41,15
ethyl_paraoxon,1,3,acetaminophen,242,54,81,92,76,40,13
ethyl_paraoxon,1,3,benzyl_fentanyl,212,54,81,92,67,70,22
ethyl_paraoxon,1,3,ethanol,261,54,81,92,80,21,9
ethyl_paraoxon,1,4,4_ANPP,222,54,81,92,69,59,21
ethyl_paraoxon,1,4,4_nitrophenol,239,54,81,92,76,42,14
ethyl_paraoxon,1,4,acetaminophen,240,54,81,92,78,41,12
ethyl_paraoxon,1,4,benzyl_fentanyl,212,54,81,92,67,69,23
ethyl_paraoxon,1,4,ethanol,258,54,81,92,83,23,7
ethyl_paraoxon,2,0,4_ANPP,213,54,81,92,80,58,20
ethyl_paraoxon,2,0,4_nitrophenol,224,54,81,92,84,47,16
ethyl_paraoxon,2,0,acetaminophen,233,54,81,92,86,38,14
ethyl_paraoxon,2,0,benzyl_fentanyl,203,54,81,92,76,68,24
ethyl_paraoxon,2,0,ethanol,246,54,81,92,92,25,8
ethyl_paraoxon,2,1,4_ANPP,219,54,81,92,74,60,18
ethyl_paraoxon,2,1,4_nitrophenol,234,54,81,92,74,45,18
ethyl_paraoxon,2,1,acetaminophen,240,54,81,92,79,39,13
ethyl_paraoxon,2,1,benzyl_fentanyl,210,54,81,92,69,69,23
ethyl_paraoxon,2,1,ethanol,255,54,81,92,83,24,9
ethyl_paraoxon,2,3,4_ANPP,223,54,81,92,70,59,19
ethyl_paraoxon,2,3,4_nitrophenol,234,54,81,92,74,48,15
ethyl_paraoxon,2,3,acetaminophen,243,54,81,92,76,39,13
ethyl_paraoxon,2,3,benzyl_fentanyl,212,54,81,92,67,70,22
ethyl_paraoxon,2,3,ethanol,258,54,81,92,80,24,9
ethyl_paraoxon,2,4,4_ANPP,224,54,81,92,69,57,21
ethyl_paraoxon,2,4,4_nitrophenol,232,54,81,92,76,49,14
ethyl_paraoxon,2,4,acetaminophen,241,54,81,92,78,40,12
ethyl_paraoxon,2,4,benzyl_fentanyl,212,54,81,92,67,69,23
ethyl_paraoxon,2,4,ethanol,255,54,81,92,83,26,7
ethyl_paraoxon,3,0,4_ANPP,215,54,81,89,80,59,20
ethyl_paraoxon,3,0,4_nitrophenol,231,54,81,89,84,43,16
ethyl_paraoxon,3,0,acetaminophen,235,54,81,89,86,39,14
ethyl_paraoxon,3,0,benzyl_fentanyl,205,54,81,89,76,69,24
ethyl_paraoxon,3,0,ethanol,252,54,81,89,92,22,8
ethyl_paraoxon,3,1,4_ANPP,221,54,81,89,74,61,18
ethyl_paraoxon,3,1,4_nitrophenol,241,54,81,89,74,41,18
ethyl_paraoxon,3,1,acetaminophen,242,54,81,89,79,40,13
ethyl_paraoxon,3,1,benzyl_fentanyl,212,54,81,89,69,70,23
ethyl_paraoxon,3,1,ethanol,261,54,81,89,83,21,9
ethyl_paraoxon,3,2,4_ANPP,223,54,81,89,72,59,20
ethyl_paraoxon,3,2,4_nitrophenol,234,54,81,89,81,48,11
ethyl_paraoxon,3,2,acetaminophen,243,54,81,89,78,39,14
ethyl_paraoxon,3,2,benzyl_fentanyl,212,54,81,89,69,70,23
ethyl_paraoxon,3,2,ethanol,258,54,81,89,86,24,6
ethyl_paraoxon,3,4,4_ANPP,226,54,81,89,69,58,21
ethyl_paraoxon,3,4,4_nitrophenol,239,54,81,89,76,45,14
ethyl_paraoxon,3,4,acetaminophen,243,54,81,89,78,41,12
ethyl_paraoxon,3,4,benzyl_fentanyl,214,54,81,89,67,70,23
ethyl_paraoxon,3,4,ethanol,261,54,81,89,83,23,7
ethyl_paraoxon,4,0,4_ANPP,216,54,81,90,80,57,20
ethyl_paraoxon,4,0,4_nitrophenol,229,54,81,90,84,44,16
ethyl_paraoxon,4,0,acetaminophen,233,54,81,90,86,40,14
ethyl_paraoxon,4,0,benzyl_fentanyl,205,54,81,90,76,68,24
ethyl_paraoxon,4,0,ethanol,249,54,81,90,92,24,8
ethyl_paraoxon,4,1,4_ANPP,222,54,81,90,74,59,18
ethyl_paraoxon,4,1,4_nitrophenol,239,54,81,90,74,42,18
ethyl_paraoxon,4,1,acetaminophen,240,54,81,90,79,41,13
ethyl_paraoxon,4,1,benzyl_fentanyl,212,54,81,90,69,69,23
ethyl_paraoxon,4,1,ethanol,258,54,81,90,83,23,9
ethyl_paraoxon,4,2,4_ANPP,224,54,81,90,72,57,20
ethyl_paraoxon,4,2,4_nitrophenol,232,54,81,90,81,49,11
ethyl_paraoxon,4,2,acetaminophen,241,54,81,90,78,40,14
ethyl_paraoxon,4,2,benzyl_fentanyl,212,54,81,90,69,69,23
ethyl_paraoxon,4,2,ethanol,255,54,81,90,86,26,6
ethyl_paraoxon,4,3,4_ANPP,226,54,81,90,70,58,19
ethyl_paraoxon,4,3,4_nitrophenol,239,54,81,90,74,45,15
ethyl_paraoxon,4,3,acetaminophen,243,54,81,90,76,41,13
ethyl_paraoxon,4,3,benzyl_fentanyl,214,54,81,90,67,70,22
ethyl_paraoxon,4,3,ethanol,261,54,81,90,80,23,9
