held_unknown,outer_fold,inner_fold,surrogate_unknown,partition,rows,masters,analytes,instruments,sensor_families
4_ANPP,1,0,ethyl_paraoxon,validation_surrogate_unknown,3,2,1,1,1
4_ANPP,1,2,4_nitrophenol,excluded_outer_known_test,86,10,6,10,4
4_ANPP,1,2,4_nitrophenol,excluded_surrogate_training,45,5,1,5,3
4_ANPP,1,2,4_nitrophenol,locked_held_unknown,102,11,1,8,2
4_ANPP,1,2,4_nitrophenol,locked_stress,94,40,6,9,4
4_ANPP,1,2,4_nitrophenol,train_known,196,30,5,10,4
4_ANPP,1,2,4_nitrophenol,validation_known,64,11,5,10,3
4_ANPP,1,2,4_nitrophenol,validation_surrogate_unknown,11,2,1,3,2
4_ANPP,1,2,acetaminophen,excluded_outer_known_test,86,10,6,10,4
4_ANPP,1,2,acetaminophen,excluded_surrogate_training,39,7,1,5,2
4_ANPP,1,2,acetaminophen,locked_held_unknown,102,11,1,8,2
4_ANPP,1,2,acetaminophen,locked_stress,94,40,6,9,4
4_ANPP,1,2,acetaminophen,train_known,202,28,5,10,4
4_ANPP,1,2,acetaminophen,validation_known,61,12,5,10,3
4_ANPP,1,2,acetaminophen,validation_surrogate_unknown,14,1,1,5,2
4_ANPP,1,2,benzyl_fentanyl,excluded_outer_known_test,86,10,6,10,4
4_ANPP,1,2,benzyl_fentanyl,excluded_surrogate_training,69,9,1,8,3
4_ANPP,1,2,benzyl_fentanyl,locked_held_unknown,102,11,1,8,2
4_ANPP,1,2,benzyl_fentanyl,locked_stress,94,40,6,9,4
4_ANPP,1,2,benzyl_fentanyl,train_known,172,26,5,10,4
4_ANPP,1,2,benzyl_fentanyl,validation_known,52,10,5,9,3
4_ANPP,1,2,benzyl_fentanyl,validation_surrogate_unknown,23,3,1,9,2
4_ANPP,1,2,ethanol,excluded_outer_known_test,86,10,6,10,4
4_ANPP,1,2,ethanol,excluded_surrogate_training,24,5,1,4,2
4_ANPP,1,2,ethanol,locked_held_unknown,102,11,1,8,2
4_ANPP,1,2,ethanol,locked_stress,94,40,6,9,4
4_ANPP,1,2,ethanol,train_known,217,30,5,10,4
4_ANPP,1,2,ethanol,validation_known,69,10,5,10,3
4_ANPP,1,2,ethanol,validation_surrogate_unknown,6,3,1,2,1
4_ANPP,1,2,ethyl_paraoxon,excluded_outer_known_test,86,10,6,10,4
4_ANPP,1,2,ethyl_paraoxon,excluded_surrogate_training,22,4,1,3,2
4_ANPP,1,2,ethyl_paraoxon,locked_held_unknown,102,11,1,8,2
4_ANPP,1,2,ethyl_paraoxon,locked_stress,94,40,6,9,4
4_ANPP,1,2,ethyl_paraoxon,train_known,219,31,5,10,4
4_ANPP,1,2,ethyl_paraoxon,validation_known,72,11,5,10,3
4_ANPP,1,2,ethyl_paraoxon,validation_surrogate_unknown,3,2,1,2,1
4_ANPP,1,3,4_nitrophenol,excluded_outer_known_test,86,10,6,10,4
4_ANPP,1,3,4_nitrophenol,excluded_surrogate_training,41,5,1,4,3
4_ANPP,1,3,4_nitrophenol,locked_held_unknown,102,11,1,8,2
4_ANPP,1,3,4_nitrophenol,locked_stress,94,40,6,9,4
4_ANPP,1,3,4_nitrophenol,train_known,193,33,5,10,3
4_ANPP,1,3,4_nitrophenol,validation_known,67,8,5,10,4
4_ANPP,1,3,4_nitrophenol,validation_surrogate_unknown,15,2,1,4,3
