candidate_order,candidate_id,representation,model_family,parameters_json,subset,outer_fold,inner_validation_fold,seed,n_train,n_validation,n_train_groups,n_validation_groups,status,error,n_test,n_supported,n_unsupported,balanced_accuracy,macro_f1,accuracy,negative_log_likelihood,brier_multiclass,expected_calibration_error_10
34,minimal_minmax__random_forest__414685bc7e,minimal_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",strict_core,1,4,759608886,355,124,41,16,pass,,124,124,0,0.6636531805704738,0.6641967873375554,0.6854838709677419,0.9366316878198064,0.42375356283421795,0.1597569378388004
35,minimal_minmax__random_forest__ba1024e1bd,minimal_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",strict_core,1,4,1704103204,355,124,41,16,pass,,124,124,0,0.6676323363353438,0.6616440229577935,0.6854838709677419,0.9536751410655655,0.4289442155398854,0.15345052497216716
36,minimal_minmax__random_forest__5a9b8650f2,minimal_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 1}",strict_core,1,4,16091257,355,124,41,16,pass,,124,124,0,0.6673563487473262,0.6703352097954768,0.6854838709677419,0.8576579021017398,0.3938668458782027,0.11400537634464358
37,minimal_minmax__random_forest__83f0bbfd71,minimal_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 1}",strict_core,1,4,711584523,355,124,41,16,pass,,124,124,0,0.6789013513637574,0.6790233520347726,0.7016129032258065,0.882551393552036,0.39904462365599536,0.11715053763501221
38,minimal_minmax__random_forest__3a58587681,minimal_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 2}",strict_core,1,4,1902989401,355,124,41,16,pass,,124,124,0,0.6615273302303377,0.6563249388697316,0.6854838709677419,0.8665328154660823,0.3972168044548576,0.11053847657795315
39,minimal_minmax__random_forest__baf457a363,minimal_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 2}",strict_core,1,4,1798259512,355,124,41,16,pass,,124,124,0,0.6714479651509728,0.6739150440763344,0.6935483870967742,0.8853521630990149,0.401930509874824,0.12287672897324439
40,minimal_minmax__random_forest__0c28cc6c96,minimal_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 4}",strict_core,1,4,1298268471,355,124,41,16,pass,,124,124,0,0.6725163412193488,0.6743357001421517,0.6935483870967742,0.8749599469904865,0.40013652181408016,0.1297696616966154
41,minimal_minmax__random_forest__b14279f757,minimal_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 4}",strict_core,1,4,1575448257,355,124,41,16,pass,,124,124,0,0.7132781587668805,0.7106635856635857,0.7258064516129032,0.8892662153015652,0.4009812697198187,0.15595443488463415
42,minimal_minmax__random_forest__5e308670e9,minimal_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": 0.1, ""min_samples_leaf"": 1}",strict_core,1,4,616063971,355,124,41,16,pass,,124,124,0,0.687971646148338,0.6879156373342419,0.7096774193548387,0.868235769145786,0.39963862027746405,0.1450633162389213
43,minimal_minmax__random_forest__ba463fb0d7,minimal_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": 0.1, ""min_samples_leaf"": 1}",strict_core,1,4,1031398705,355,124,41,16,pass,,124,124,0,0.6882476337363556,0.68717721765619,0.7096774193548387,0.8650574752514475,0.3970155119263867,0.15771014333945996
44,minimal_minmax__random_forest__20f5c6f432,minimal_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": 0.1, ""min_samples_leaf"": 2}",strict_core,1,4,174993668,355,124,41,16,pass,,124,124,0,0.6900320857087775,0.68993672155076,0.7096774193548387,0.8495050829908651,0.3905652761397651,0.12304456682998467
45,minimal_minmax__random_forest__c739cc8caf,minimal_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": 0.1, ""min_samples_leaf"": 2}",strict_core,1,4,877417980,355,124,41,16,pass,,124,124,0,0.6824369761399837,0.6761264760490766,0.7016129032258065,0.8725948798126784,0.39451751860675527,0.12135254719008842
46,minimal_minmax__random_forest__9567b8594a,minimal_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": 0.1, ""min_samples_leaf"": 4}",strict_core,1,4,1855755917,355,124,41,16,pass,,124,124,0,0.7024308711338787,0.7007841180598655,0.717741935483871,0.8704557833395865,0.39804307978879494,0.1553425901207124
47,minimal_minmax__random_forest__8118d4f679,minimal_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": 0.1, ""min_samples_leaf"": 4}",strict_core,1,4,327012467,355,124,41,16,pass,,124,124,0,0.7022891477778695,0.7017573696145124,0.717741935483871,0.8954947494361607,0.4035497549368107,0.1580162775862513
48,derivative_1__random_forest__5868a78bb4,derivative_1,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",strict_core,1,4,1579029360,355,124,41,16,pass,,124,124,0,0.7406129793347839,0.739968661213262,0.7741935483870968,0.8686119179705827,0.38916272401442326,0.23626344086067594
49,derivative_1__random_forest__be46512902,derivative_1,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",strict_core,1,4,1620983027,355,124,41,16,pass,,124,124,0,0.716661732169251,0.715306581471995,0.75,0.9035248678262868,0.4069446236559651,0.22064516129063283
50,derivative_1__random_forest__c12c070c12,derivative_1,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",strict_core,1,4,903478431,355,124,41,16,pass,,124,124,0,0.7258083395301441,0.7297850973773515,0.7580645161290323,0.8672622102563072,0.39097946924028765,0.22511930186397974
51,derivative_1__random_forest__d66d6f3f62,derivative_1,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",strict_core,1,4,1936856521,355,124,41,16,pass,,124,124,0,0.7586336491411679,0.7613203022747032,0.782258064516129,0.8826086165255055,0.3958742120182626,0.2610506575472904
52,derivative_1__random_forest__7d1eec8702,derivative_1,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",strict_core,1,4,337951469,355,124,41,16,pass,,124,124,0,0.7546544933762979,0.7577748164708673,0.782258064516129,0.8953585274370282,0.40369610358129004,0.2647335607290625
53,derivative_1__random_forest__262ae29fb1,derivative_1,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",strict_core,1,4,410370746,355,124,41,16,pass,,124,124,0,0.8012923792998982,0.7977598781193133,0.8225806451612904,0.8997448929379525,0.40648583618041684,0.3180019559583757
54,derivative_1__random_forest__1b62c926f1,derivative_1,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",strict_core,1,4,679529837,355,124,41,16,pass,,124,124,0,0.7500504925316955,0.7500704315126371,0.782258064516129,0.879653072046473,0.39405327011878427,0.26133162659114484
55,derivative_1__random_forest__f5b750ad51,derivative_1,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",strict_core,1,4,401283886,355,124,41,16,pass,,124,124,0,0.7277270557345744,0.7335437868674459,0.7580645161290323,0.8788374820872559,0.3951492424048223,0.22748921853141307
56,derivative_1__random_forest__03e2055c66,derivative_1,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",strict_core,1,4,1645616747,355,124,41,16,pass,,124,124,0,0.7246745526820716,0.7298386307930317,0.7580645161290323,0.8773107215940725,0.395720910827911,0.22186432786811902
57,derivative_1__random_forest__ce99612d47,derivative_1,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",strict_core,1,4,591204083,355,124,41,16,pass,,124,124,0,0.7367973505191551,0.7412250026001289,0.7661290322580645,0.8927909225238628,0.4015286241916242,0.24280804425698366
58,derivative_1__random_forest__414685bc7e,derivative_1,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",strict_core,1,4,987560448,355,124,41,16,pass,,124,124,0,0.755006793540628,0.7565957768048361,0.782258064516129,0.8969838448041224,0.40120594901028156,0.26499093522969025
59,derivative_1__random_forest__ba1024e1bd,derivative_1,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",strict_core,1,4,148250110,355,124,41,16,pass,,124,124,0,0.7594690710292215,0.7601976883228891,0.782258064516129,0.9088700403129758,0.4089786176429529,0.27654700526253656
60,derivative_1__random_forest__5a9b8650f2,derivative_1,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 1}",strict_core,1,4,374129217,355,124,41,16,pass,,124,124,0,0.7514602669677858,0.7507073520329086,0.782258064516129,0.8256693284839964,0.3739453405018772,0.2100268817210376
61,derivative_1__random_forest__83f0bbfd71,derivative_1,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 1}",strict_core,1,4,1265803135,355,124,41,16,pass,,124,124,0,0.7445921350996539,0.7485205906816667,0.7741935483870968,0.8458666748775335,0.38029569892480675,0.2124462365596156
