evaluation_subset,domain_protocol,domain_type,heldout_domain,stage,scenario,training_scenario,model_family,configuration,representation,seed,n_train,n_test_partition,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session1_row21,0.016256013083724437,0.008128006541862218,0.20361540005418563,0.6455832482076211,0.017442194452273563,70,10,0,0,1.0,0.8910723946753544,0.14523106848355383
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session1_row22,0.005415694464934609,0.0027078472324673043,0.13807881269147276,0.8179240507169344,0.009601901002045322,33,8,0,0,1.5,0.17603302023901457,0.07612570724450052
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session1_row29,0.006504050303720817,0.0032520251518604083,0.16210310803368638,0.7730307411251177,0.008645851190334983,23,6,0,0,1.5,0.259402697927706,0.07545498944818974
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session1_row30,0.0038922862681495143,0.0019461431340747572,0.14910613591095714,0.8297164262873615,0.007433609034092764,22,6,0,0,2.0,0.10484468908157352,0.09882915131311165
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session1_row36,0.012113433376399963,0.0060567166881999816,0.2861952277660861,0.2094377887364837,0.0126499438592977,61,8,0,0,2.0,3.1177492284832784,0.06586074829101562
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session1_row37,0.01426692100587053,0.007133460502935265,0.18670118898515425,0.5807677182315066,0.01900274019083164,82,10,0,0,3.0,3.2208990980020324,0.020445462316274643
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session1_row38,0.006632721075481622,0.003316360537740811,0.1415664649548874,0.8076699296135419,0.010160834247113339,34,6,0,0,2.0,0.633869495840588,0.06265303026884794
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session1_row42,0.0015021190431009082,0.0007510595215504541,0.08346696093727685,0.9521296663455026,0.005337759184019108,15,6,0,0,3.5,0.1425107515486252,0.06078430498018861
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session1_row50,0.0068013296602843385,0.0034006648301421693,0.22215391932271283,0.6743147954565701,0.007420094832554501,22,6,0,0,1.5,0.08494080608675807,0.06583676487207413
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session1_row51,0.013209018479930707,0.006604509239965354,0.2135984289496953,0.5819750885440246,0.019951392498964455,82,8,0,0,2.5,2.4536374834470145,0.21643897156172898
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session1_row238,0.04051019336000799,0.020255096680003994,0.29682999675572286,0.34233102806526916,0.008301984762326485,9,2,0,0,4.0,0.7070568286415537,0.34926575887948275
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session1_row239,0.0020054164786312404,0.0010027082393156202,0.05376914599812776,0.9801575058097894,0.0032438042470935863,11,10,0,0,1.0,0.15073756081031325,0.06182671897113323
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session1_row240,0.03959620591568948,0.01979810295784474,0.3222087400187796,0.3262856868535631,0.00783764316550722,10,3,0,0,3.0,0.5098919486498336,0.17576224578078836
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session1_row241,0.03607885340722911,0.018039426703614556,0.3113410602529513,0.37272295467449806,0.007866298793232999,7,1,0,0,2.0,0.0693670100633512,0.02427675435319543
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session1_row242,0.03610314266923455,0.018051571334617274,0.32512797851415454,0.33785171126454533,0.007536162750108945,4,1,0,0,4.0,0.8435718740211989,0.0667803271790035
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session1_row243,0.03702506096900974,0.01851253048450487,0.28805251255748965,0.3883594989544162,0.009387876028860254,10,3,0,0,1.0,0.2460467222764713,0.12264133431017399
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session1_row244,0.038516950506466606,0.019258475253233303,0.2815299608746705,0.36708425364496866,0.008486196579345103,8,4,0,0,2.5,0.4265126202303801,0.13576001022011042
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session1_row245,0.038100146879658604,0.019050073439829302,0.3152538035634099,0.3279681161064829,0.007825215847919285,8,3,0,0,2.0,0.545505159302179,0.018183843698352575
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session2_row105,0.004338059948236091,0.0021690299741180456,0.14840221700722203,0.8503219108490138,0.0041376577817676926,14,6,0,0,1.0,0.18588273759745247,0.06495493650436401
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session2_row106,0.00362208506961222,0.00181104253480611,0.1164449300667447,0.897393988772258,0.004558305211331962,15,5,0,0,1.0,0.19528000670500406,0.1280608680099249
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session2_row107,0.012710677740796919,0.006355338870398459,0.1395863295768958,0.8263947910473072,0.00791498039284696,15,3,0,0,2.0,0.23964710240716897,0.0808743704110384
