experiment_id,task_id,station,procedure_id,aggregation_level,planned_endpoint_count,complete_endpoint_count,unavailable_endpoint_count,completion_fraction,expected_observation_memberships,expected_master_memberships
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-16,instrument_balanced_master,15,13,2,0.8666666666666667,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-16,spectrum,15,13,2,0.8666666666666667,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-17,instrument_balanced_master,15,14,1,0.9333333333333333,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-17,spectrum,15,14,1,0.9333333333333333,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-18,instrument_balanced_master,15,13,2,0.8666666666666667,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-18,spectrum,15,13,2,0.8666666666666667,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-19,instrument_balanced_master,15,14,1,0.9333333333333333,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-19,spectrum,15,14,1,0.9333333333333333,880,330
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-00,instrument_balanced_master,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-00,spectrum,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-01,instrument_balanced_master,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-01,spectrum,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-02,instrument_balanced_master,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-02,spectrum,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-03,instrument_balanced_master,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-03,spectrum,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-04,instrument_balanced_master,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-04,spectrum,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-05,instrument_balanced_master,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-05,spectrum,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-06,instrument_balanced_master,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-06,spectrum,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-07,instrument_balanced_master,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-07,spectrum,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-08,instrument_balanced_master,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-08,spectrum,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-09,instrument_balanced_master,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-09,spectrum,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-10,instrument_balanced_master,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-10,spectrum,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-11,instrument_balanced_master,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-11,spectrum,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-12,instrument_balanced_master,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-12,spectrum,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-13,instrument_balanced_master,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-13,spectrum,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-14,instrument_balanced_master,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-14,spectrum,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-15,instrument_balanced_master,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-15,spectrum,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-16,instrument_balanced_master,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-16,spectrum,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-17,instrument_balanced_master,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-17,spectrum,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-18,instrument_balanced_master,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-18,spectrum,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-19,instrument_balanced_master,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,pills,C-PERMUTED-SELECTED:CTRL-PERM-19,spectrum,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-00,instrument_balanced_master,25,20,5,0.8,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-00,spectrum,25,20,5,0.8,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-01,instrument_balanced_master,25,18,7,0.72,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-01,spectrum,25,18,7,0.72,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-02,instrument_balanced_master,25,20,5,0.8,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-02,spectrum,25,20,5,0.8,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-03,instrument_balanced_master,25,23,2,0.92,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-03,spectrum,25,23,2,0.92,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-04,instrument_balanced_master,25,19,6,0.76,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-04,spectrum,25,19,6,0.76,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-05,instrument_balanced_master,25,19,6,0.76,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-05,spectrum,25,19,6,0.76,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-06,instrument_balanced_master,25,19,6,0.76,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-06,spectrum,25,19,6,0.76,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-07,instrument_balanced_master,25,18,7,0.72,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-07,spectrum,25,18,7,0.72,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-08,instrument_balanced_master,25,20,5,0.8,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-08,spectrum,25,20,5,0.8,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-09,instrument_balanced_master,25,20,5,0.8,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-09,spectrum,25,20,5,0.8,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-10,instrument_balanced_master,25,18,7,0.72,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-10,spectrum,25,18,7,0.72,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-11,instrument_balanced_master,25,22,3,0.88,895,495
