scanname Scan009
timestamp 2024-03-06 17:47:32
ccdbias 990.967285
ccdgain 4.313516
sigmaread 9.885917
laserwavenum -0.039825
wavenumcorrection -0.892949
scancount 3
totalexposurems 3953
singleexposurems 1939
measurementstate Unknown
scanmode Auto
snr 92.812256 24.598404 7.100382
replacelist 0
peaks 6
460.490723 0.132183
462.728760 0.130306
464.965393 0.130926
467.200562 0.131610
469.434174 0.129112
471.666473 0.127604
473.897247 0.128637
476.126526 0.128395
478.354523 0.128761
480.580963 0.128573
482.805939 0.130389
485.029633 0.128839
487.251709 0.127907
489.472351 0.128601
491.691711 0.125680
493.909515 0.128427
496.125885 0.128032
498.340942 0.127404
500.554443 0.127901
502.766479 0.125447
504.977234 0.127989
507.186432 0.128616
509.394348 0.127422
511.600677 0.128169
513.805603 0.127414
516.009277 0.129892
518.211365 0.127488
520.411987 0.127230
522.611389 0.127236
524.809204 0.127691
527.005554 0.127335
529.200684 0.127305
531.394287 0.124498
533.586365 0.125817
535.777222 0.124658
537.966614 0.125979
540.154480 0.125684
542.341187 0.128063
544.526245 0.125542
546.709900 0.125477
548.892395 0.125405
551.073303 0.125074
553.252747 0.124973
555.430908 0.124285
557.607605 0.127156
559.782837 0.128190
561.956848 0.125107
564.129395 0.128540
566.300415 0.124654
568.470276 0.125524
570.638550 0.126324
572.805420 0.126109
574.971008 0.126376
577.135132 0.125515
579.298035 0.124603
581.459351 0.126208
583.619324 0.124923
585.777954 0.124272
587.935120 0.126561
590.090881 0.125696
592.245422 0.124274
594.398376 0.125055
596.550049 0.125106
598.700439 0.124589
600.849304 0.125756
602.996826 0.123351
605.143005 0.124849
607.287781 0.124875
609.431152 0.125287
611.573364 0.125267
613.713867 0.125534
615.853088 0.126082
617.991150 0.125009
620.127686 0.126039
622.262817 0.123989
624.396667 0.125095
626.529114 0.124627
628.660217 0.122748
630.789978 0.125526
632.918274 0.124812
635.045227 0.124345
637.170959 0.124296
639.295166 0.124533
641.418091 0.123362
643.539734 0.125433
645.659851 0.125819
647.778809 0.127051
649.896240 0.126054
652.012451 0.126241
654.127258 0.125497
656.240662 0.126091
658.352661 0.125744
660.463562 0.126949
662.572876 0.126430
664.680969 0.126724
666.787659 0.127328
668.893005 0.125224
670.996948 0.125375
673.099731 0.126574
675.200989 0.125514
677.301025 0.127408
679.399719 0.125394
681.496948 0.125925
683.592896 0.125627
685.687683 0.127966
687.780945 0.124739
689.872864 0.126504
691.963562 0.125600
694.052856 0.124847
696.140747 0.127051
698.227478 0.126830
700.312866 0.125911
702.396729 0.127450
704.479492 0.125196
706.560913 0.124916
708.640808 0.123978
710.719604 0.126612
712.796875 0.125380
714.873108 0.125995
716.947815 0.125118
719.021179 0.127620
721.093323 0.127225
723.164124 0.127565
725.233521 0.126614
727.301758 0.126071
729.368530 0.127182
731.434082 0.127539
733.498291 0.125759
735.561218 0.125015
737.622742 0.127244
739.683167 0.127738
741.742065 0.129272
743.799683 0.125346
745.856140 0.127247
747.911194 0.128743
749.964905 0.127457
752.017456 0.128921
754.068604 0.126180
756.118347 0.128230
758.167053 0.129425
760.214233 0.125168
762.260132 0.125210
764.304932 0.126498
766.348267 0.128246
768.390320 0.127145
770.431152 0.128853
772.470581 0.127165
774.508789 0.126745
776.545776 0.126231
778.581421 0.128621
780.615784 0.126484
782.648804 0.127946
784.680603 0.129207
786.711121 0.127479
788.740234 0.127526
790.768127 0.129222
792.794861 0.128190
794.820129 0.127784
796.844238 0.129046
798.867065 0.130163
800.888489 0.130372
802.908752 0.129011
804.927795 0.131689
806.945496 0.129585
808.961792 0.131115
810.976868 0.128713
812.990845 0.128819
815.003479 0.131114
817.014709 0.130228
819.024902 0.129539
821.033691 0.130951
823.041260 0.130394
825.047485 0.129516
827.052429 0.130260
829.056274 0.131313
