heldout_substrate_family,poster_axis,stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,beta_target,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0189,0.009659816897427962,0.004829908448713981,0.10752580844958856,0.7146277659756948,0.023483007955364885,87,22,33,15,1.5,1.025605643287737,0.08512511104345322
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0190,0.019741071250280472,0.009870535625140236,0.13244183283469452,0.8261178337974794,0.01822188627739836,59,13,20,7,2.0,0.6070639285495002,0.08881822228431702
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0191,0.009890593859390267,0.0049452969296951334,0.09648068638058901,0.6456069674794386,0.02639766764960119,99,25,42,15,2.0,1.8213587577652681,0.0508103221654892
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0192,0.009810510805206061,0.004905255402603031,0.10563115160632604,0.7255264615558287,0.02483071165625006,98,24,35,14,2.0,1.1234521470801346,0.07597659155726433
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0193,0.007532771816609939,0.0037663859083049696,0.10286361992014316,0.8338939974484405,0.01706550562222089,77,13,19,9,2.0,1.5647910333211468,0.1092197373509407
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0194,0.003714038259857307,0.0018570191299286535,0.11178494706436044,0.8291341771490089,0.01164574908200718,47,12,7,3,1.0,1.74464303786423,0.06482181698083878
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0195,0.006539095545812319,0.0032695477729061595,0.09489152224530854,0.737104912113791,0.020797939734267336,85,26,29,16,2.0,0.929502039390669,0.09490096569061279
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0196,0.010098226188249968,0.005049113094124984,0.09894475258728869,0.7776802298019327,0.023803336402135236,96,20,34,13,2.0,0.473301750991352,0.08012285456061363
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0197,0.004302924877553431,0.0021514624387767153,0.10874259827658732,0.8072007527949526,0.01474210620458637,71,16,10,6,3.0,1.5234427500098957,0.06527863070368767
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0198,0.01669517024817248,0.00834758512408624,0.1383492252354486,0.6749085238631805,0.019712960818516357,83,23,22,13,2.0,1.8351171607967454,0.0799822062253952
