source,display_model,scenario,outer_fold,subset,representation,model_family,model,seed,raw_same_master_cross_instrument_distance,latent_same_master_cross_instrument_distance,same_master_distance_delta,latent_different_target_cross_instrument_distance,latent_cross_instrument_separation_margin,same_master_pair_count,different_target_pair_count
adequacy500,VAE-500 β=0.25,nato_outer_o2__train_quality_pass__test_field_quality_stress,2,field_quality_stress,arpls_minmax,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,3141,0.8672218180964251,0.30685051335852237,-0.5603713047379026,0.33957029002123446,0.032719776662712086,14,136
adequacy500,VAE-500 β=0.25,nato_outer_o3__train_quality_pass__test_field_quality_stress,3,field_quality_stress,arpls_minmax,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,1729,0.876088498058629,0.8858034608071641,0.009714962748535116,0.6252671724408507,-0.2605362883663134,8,111
adequacy500,VAE-500 β=0.25,nato_outer_o3__train_quality_pass__test_field_quality_stress,3,field_quality_stress,arpls_minmax,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,2718,0.876088498058629,0.9023165020756261,0.026228004016997097,0.6676101431477319,-0.23470635892789415,8,111
adequacy500,VAE-500 β=0.25,nato_outer_o3__train_quality_pass__test_field_quality_stress,3,field_quality_stress,arpls_minmax,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,3141,0.876088498058629,0.8654203489021399,-0.01066814915648906,0.6553796681583857,-0.21004068074375426,8,111
adequacy500,VAE-500 β=0.25,nato_outer_o4__train_quality_pass__test_field_quality_stress,4,field_quality_stress,arpls_minmax,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,1729,0.9224108691449666,0.5097558322983048,-0.4126550368466618,0.595234108503994,0.08547827620568926,25,190
adequacy500,VAE-500 β=0.25,nato_outer_o4__train_quality_pass__test_field_quality_stress,4,field_quality_stress,arpls_minmax,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,2718,0.9224108691449666,0.5203207390131654,-0.40209013013180117,0.5627906816164234,0.04246994260325798,25,190
adequacy500,VAE-500 β=0.25,nato_outer_o4__train_quality_pass__test_field_quality_stress,4,field_quality_stress,arpls_minmax,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,3141,0.9224108691449666,0.5208258172755613,-0.4015850518694053,0.5863857627386129,0.06555994546305155,25,190
frozen_baseline,Siamese,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,field_quality_stress,derivative_1,siamese,siamese,1729,,,,0.1586444830845486,,0,26
frozen_baseline,Siamese,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,field_quality_stress,derivative_1,siamese,siamese,2718,,,,0.27391212062693404,,0,26
frozen_baseline,Siamese,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,field_quality_stress,derivative_1,siamese,siamese,3141,,,,0.3352824445694594,,0,26
frozen_baseline,Siamese,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,field_quality_stress,derivative_1,siamese,siamese,1729,0.9149249586651849,0.2143400242576402,-0.7005849344075447,0.28626310857266646,0.07192308431502625,8,54
frozen_baseline,Siamese,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,field_quality_stress,derivative_1,siamese,siamese,2718,0.9149249586651849,0.0786809708127785,-0.8362439878524064,0.15143002009262665,0.07274904927984815,8,54
frozen_baseline,Siamese,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,field_quality_stress,derivative_1,siamese,siamese,3141,0.9149249586651849,0.22251659130817542,-0.6924083673570094,0.2915586669154315,0.06904207560725606,8,54
frozen_baseline,Siamese,nato_outer_o2__train_quality_pass__test_field_quality_stress,2,field_quality_stress,derivative_1,siamese,siamese,1729,0.9477589799144334,0.16186783786333797,-0.7858911420510954,0.18888754404736746,0.02701970618402949,14,136
frozen_baseline,Siamese,nato_outer_o2__train_quality_pass__test_field_quality_stress,2,field_quality_stress,derivative_1,siamese,siamese,2718,0.9477589799144334,0.09364234579985668,-0.8541166341145767,0.10044114838105962,0.0067988025812029396,14,136
frozen_baseline,Siamese,nato_outer_o2__train_quality_pass__test_field_quality_stress,2,field_quality_stress,derivative_1,siamese,siamese,3141,0.9477589799144334,0.11749493068018231,-0.830264049234251,0.13114736921114847,0.013652438530966163,14,136
frozen_baseline,Siamese,nato_outer_o3__train_quality_pass__test_field_quality_stress,3,field_quality_stress,derivative_1,siamese,siamese,1729,0.8953581418822147,0.21218888400455677,-0.683169257877658,0.3315510811526716,0.11936219714811486,8,111
frozen_baseline,Siamese,nato_outer_o3__train_quality_pass__test_field_quality_stress,3,field_quality_stress,derivative_1,siamese,siamese,2718,0.8953581418822147,0.11599667783905797,-0.7793614640431568,0.19785611931779779,0.08185944147873982,8,111
