evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition,stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,beta_target,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row271,0.008245456080113078,0.004122728040056539,0.14349226974319132,0.8235311686827426,0.010915786412411503,38,7,0,0,3.0,0.06370483855029903,0.054264143109321594
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row275,0.0018213745711834718,0.0009106872855917359,0.09281032670330369,0.9378873847669278,0.004886873943282158,13,6,0,0,2.0,0.1376727554011224,0.03899865143466741
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row279,0.0012368634498022538,0.0006184317249011269,0.06649267497327999,0.9688365132257264,0.0038400510658643076,12,7,0,0,3.0,0.24804918233717607,0.008654223755002022
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row283,0.00895065704329497,0.004475328521647485,0.1528080083465856,0.8069724810290475,0.011318894430462804,41,4,0,0,2.0,0.02113231380374874,0.04271129984408617
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row286,0.009289626228404206,0.004644813114202103,0.13034631009473574,0.8069082699671284,0.0156872372174569,67,9,0,0,3.0,0.35921350179614875,0.05603093281388283
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row288,0.0008705839798692126,0.0004352919899346063,0.05581322485097552,0.9799566517052194,0.0031533583024689247,11,7,0,0,3.0,0.1738571933969192,0.022950625978410244
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row291,0.0009365508391934944,0.0004682754195967472,0.05811510505184379,0.9778233211100004,0.0031458324727801873,11,7,0,0,2.0,0.25270363511173405,0.01914440095424652
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row294,0.0008193115681417878,0.0004096557840708939,0.0565746934844228,0.9793513856631483,0.0038330174396235504,13,9,0,0,3.0,0.17800784137860232,0.017973867943510413
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row303,0.016341877209005644,0.008170938604502822,0.16664655841252987,0.7495545605708035,0.010999614818221225,30,6,0,0,2.0,0.42733697335427046,0.11434721935074776
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row308,0.008762147123549393,0.004381073561774696,0.09770297447997393,0.9201211481874874,0.006805121380660109,17,3,0,0,1.0,0.23098226436989905,0.15053452737629414
