k,shot_unit,seed,held_out_substrate,prototype_mode,n_train_available,n_support,n_test,support_labels,support_substrates,support_counts,test_labels,accuracy,balanced_accuracy,macro_f1,true_label_macro_f1,final_loss
5,chemical_substrate,43,PICO,row_mean,200,40,75,"4np,benzenethiol,pyridine","Ag,Au,pSERS",4np/Ag:5;4np/pSERS:5;benzenethiol/Ag:5;benzenethiol/Au:5;benzenethiol/pSERS:5;pyridine/Ag:5;pyridine/Au:5;pyridine/pSERS:5,"4np,benzenethiol,pyridine",0.8266666666666667,0.8266666666666667,0.814099814099814,0.814099814099814,0.0
5,chemical_substrate,43,pSERS,row_mean,200,40,75,"4np,benzenethiol,pyridine","Ag,Au,PICO",4np/Ag:5;4np/PICO:5;benzenethiol/Ag:5;benzenethiol/Au:5;benzenethiol/PICO:5;pyridine/Ag:5;pyridine/Au:5;pyridine/PICO:5,"4np,benzenethiol,pyridine",0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0264086052775383
5,chemical_substrate,44,Ag,row_mean,200,40,75,"4np,benzenethiol,pyridine","Au,PICO,pSERS",4np/PICO:5;4np/pSERS:5;benzenethiol/Au:5;benzenethiol/PICO:5;benzenethiol/pSERS:5;pyridine/Au:5;pyridine/PICO:5;pyridine/pSERS:5,"4np,benzenethiol,pyridine",0.76,0.7600000000000001,0.714891975308642,0.714891975308642,0.0
5,chemical_substrate,44,Au,row_mean,225,45,50,"4np,benzenethiol,pyridine","Ag,PICO,pSERS",4np/Ag:5;4np/PICO:5;4np/pSERS:5;benzenethiol/Ag:5;benzenethiol/PICO:5;benzenethiol/pSERS:5;pyridine/Ag:5;pyridine/PICO:5;pyridine/pSERS:5,"benzenethiol,pyridine",0.98,0.98,0.6598639455782312,0.9897959183673469,0.0
5,chemical_substrate,44,PICO,row_mean,200,40,75,"4np,benzenethiol,pyridine","Ag,Au,pSERS",4np/Ag:5;4np/pSERS:5;benzenethiol/Ag:5;benzenethiol/Au:5;benzenethiol/pSERS:5;pyridine/Ag:5;pyridine/Au:5;pyridine/pSERS:5,"4np,benzenethiol,pyridine",0.7333333333333333,0.7333333333333334,0.69112376133249,0.69112376133249,0.0
5,chemical_substrate,44,pSERS,row_mean,200,40,75,"4np,benzenethiol,pyridine","Ag,Au,PICO",4np/Ag:5;4np/PICO:5;benzenethiol/Ag:5;benzenethiol/Au:5;benzenethiol/PICO:5;pyridine/Ag:5;pyridine/Au:5;pyridine/PICO:5,"4np,benzenethiol,pyridine",1.0,1.0,1.0,1.0,0.0
5,chemical_substrate,45,Ag,row_mean,200,40,75,"4np,benzenethiol,pyridine","Au,PICO,pSERS",4np/PICO:5;4np/pSERS:5;benzenethiol/Au:5;benzenethiol/PICO:5;benzenethiol/pSERS:5;pyridine/Au:5;pyridine/PICO:5;pyridine/pSERS:5,"4np,benzenethiol,pyridine",0.8533333333333334,0.8533333333333334,0.8438914027149321,0.8438914027149321,0.0
5,chemical_substrate,45,Au,row_mean,225,45,50,"4np,benzenethiol,pyridine","Ag,PICO,pSERS",4np/Ag:5;4np/PICO:5;4np/pSERS:5;benzenethiol/Ag:5;benzenethiol/PICO:5;benzenethiol/pSERS:5;pyridine/Ag:5;pyridine/PICO:5;pyridine/pSERS:5,"benzenethiol,pyridine",1.0,1.0,1.0,1.0,0.0
5,chemical_substrate,45,PICO,row_mean,200,40,75,"4np,benzenethiol,pyridine","Ag,Au,pSERS",4np/Ag:5;4np/pSERS:5;benzenethiol/Ag:5;benzenethiol/Au:5;benzenethiol/pSERS:5;pyridine/Ag:5;pyridine/Au:5;pyridine/pSERS:5,"4np,benzenethiol,pyridine",0.92,0.9199999999999999,0.9170335837002503,0.9170335837002503,0.0
5,chemical_substrate,45,pSERS,row_mean,200,40,75,"4np,benzenethiol,pyridine","Ag,Au,PICO",4np/Ag:5;4np/PICO:5;benzenethiol/Ag:5;benzenethiol/Au:5;benzenethiol/PICO:5;pyridine/Ag:5;pyridine/Au:5;pyridine/PICO:5,"4np,benzenethiol,pyridine",1.0,1.0,1.0,1.0,0.0
5,chemical_substrate,46,Ag,row_mean,200,40,75,"4np,benzenethiol,pyridine","Au,PICO,pSERS",4np/PICO:5;4np/pSERS:5;benzenethiol/Au:5;benzenethiol/PICO:5;benzenethiol/pSERS:5;pyridine/Au:5;pyridine/PICO:5;pyridine/pSERS:5,"4np,benzenethiol,pyridine",0.68,0.68,0.5841995841995842,0.5841995841995842,0.0
5,chemical_substrate,46,Au,row_mean,225,45,50,"4np,benzenethiol,pyridine","Ag,PICO,pSERS",4np/Ag:5;4np/PICO:5;4np/pSERS:5;benzenethiol/Ag:5;benzenethiol/PICO:5;benzenethiol/pSERS:5;pyridine/Ag:5;pyridine/PICO:5;pyridine/pSERS:5,"benzenethiol,pyridine",0.98,0.98,0.6598639455782312,0.9897959183673469,0.0
5,chemical_substrate,46,PICO,row_mean,200,40,75,"4np,benzenethiol,pyridine","Ag,Au,pSERS",4np/Ag:5;4np/pSERS:5;benzenethiol/Ag:5;benzenethiol/Au:5;benzenethiol/pSERS:5;pyridine/Ag:5;pyridine/Au:5;pyridine/pSERS:5,"4np,benzenethiol,pyridine",0.96,0.96,0.9598554797270173,0.9598554797270173,0.0019481755793094636
